"SOUTHAMPTON ANGLESEA RD. SHIRLEY",,,,,,,,,,,,
Grid ref,SU399142,Long,-1.433668,Lat,50.925881,,,,,,,
Station no,RR4014,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.99,1.25,0.83,2.55,4.51,0.77,7.50,0.89,1.59,0.82,,
February,5.17,1.72,1.32,1.74,3.88,0.69,3.16,1.35,1.35,0.34,,
March,1.25,2.36,2.19,3.30,1.41,4.42,1.28,0.58,3.02,3.54,,
April,1.13,2.52,1.84,2.92,1.33,1.61,0.94,4.42,3.18,1.23,,
May,2.30,1.14,2.68,2.89,3.28,0.61,2.04,3.31,1.86,1.15,,
June,2.69,1.23,3.67,3.58,0.91,3.69,1.93,1.50,0.55,5.17,,
July,0.66,2.42,1.47,2.82,1.75,0.18,0.90,1.06,1.51,3.06,,
August,3.71,3.10,3.51,4.22,3.16,2.82,1.42,1.87,4.69,2.46,,
September,0.95,2.08,0.88,2.28,2.40,2.00,0.91,0.46,1.70,4.02,,
October,2.06,2.59,2.42,9.57,2.25,1.39,6.14,7.40,1.67,11.47,,
November,3.00,0.48,3.30,1.49,1.01,4.00,4.14,2.72,1.13,0.55,,
December,3.79,4.69,1.68,2.82,4.00,0.69,1.85,4.03,3.27,4.34,,
Total,30.70,25.58,25.79,40.18,29.89,22.87,32.21,29.59,25.52,38.15,,
Calc annual,30.70,25.58,25.79,40.18,29.89,22.87,32.21,29.59,25.52,38.15,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
