SOUTHAMPTON-SHIRLEY-WARREN-(BARONALD),,,,,,,,,,,,,,,,,,,,
Grid ref,SU393128,Long,-1.44177,Lat,50.91355,Elevation,10,ft,,,,,,,,,,,,
Station no,RR4014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,,3.93,2.9,0.93,1.02,,,,,,
February,,,,,,,,,,,0.86,0.04,0.98,3.77,,,,,,
March,,,,,,,,,,,1.21,2.62,0.81,0.45,,,,,,
April,,,,,,,,,,,2.92,0.9,0.76,0.04,,,,,,
May,,,,,,,,,,,1.92,2.49,0.85,0.91,,,,,,
June,,,,,,,,,,,2.38,1.93,1.51,1.37,,,,,,
July,,,,,,,,,,,3.95,2.21,2.5,,,,,,,
August,,,,,,,,,,,3.92,5.41,4.2,,,,,,,
September,,,,,,,,,,,2.74,1.37,3.34,,,,,,,
October,,,,,,,,,,,1.24,10.03,4.95,,,,,,,
November,,,,,,,,,,,1.89,3.49,3.06,,,,,,,
December,,,,,,,,,,,1.8,4.6,1.64,,,,,,,
Total,,,,,,,,,,25.49,28.76,37.99,25.53,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Baronald Millbrook Road,,,,,,,,,,,,,,,,,,,,
1889 total taken from BR 1889,,,,,,,,,,,,,,,,,,,,
1893 Gauge moved 1.5 miles to Shirley Warren,,,,,,,,,,,,,,,,,,,,
