SOUTHAMPTON-SHIRLEY-WARREN-(TREMONA),,,,,,,,,,
Grid ref,SU397145,Long,-1.43566,Lat,50.92915,Elevation,97,ft,,
Station no,RR4014,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,3.93,3.32,,,,
February,,,,,2.13,0.12,,,,
March,,,,,1.86,2.11,,,,
April,,,,,1.87,2.71,,,,
May,,,,,1.79,0.12,,,,
June,,,,,2.22,1.68,,,,
July,,,,3.89,4.86,3.83,,,,
August,,,,1.51,2.19,1.94,,,,
September,,,,1.8,1.97,0.31,,,,
October,,,,4.46,3.95,3.49,,,,
November,,,,1.54,4.92,5.55,,,,
December,,,,3.99,2.63,2.24,,,,
Total,,,,,34.32,27.42,,,,
,,,,,,,,,,
1893 Gauge moved 1.5 miles from Baronald,,,,,,,,,,
Tremona Chilworth Rd Shirley,,,,,,,,,,
1896 Gauge moved 0.25 miles S to Anglesey Road,,,,,,,,,,
