"SOUTHAMPTON (SHIRLEY)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4014,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,2.17,,,2.63,0.67,,,,,,,
February,2.22,,,0.03,3.41,,,,,,,
March,0.94,,,2.99,0.91,,,,,,,
April,2.95,,,1.81,3.11,,,,,,,
May,2.76,,,0.71,1.00,,,,,,,
June,2.58,,,1.18,3.99,,,,,,,
July,3.34,,,1.11,2.40,,,,,,,
August,5.23,,,3.18,2.51,,,,,,,
September,2.28,,,1.12,4.10,,,,,,,
October,0.58,,,1.54,5.73,,,,,,,
November,3.79,,,2.29,7.49,,,,,,,
December,0.60,,,7.98,3.92,,,,,,,
Total,29.44,,,26.57,39.24,,,,,,,
Calc annual,29.44,0.00,0.00,26.57,39.24,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
