BARNFIELD-EXETER,,,,,,,,,,,,,,,,,,,,
Grid ref,SX923926,Long,-3.5258,Lat,50.7233,Elevation,146,ft,,,,,,,,,,,,
Station no,RR1857,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,,2.11,1.94,2.12,4.78,5.99,2.74,3.38,0.07,4.09,2.58,0.61,
February,,,,,,,,,4.26,2.12,1.38,0.4,0.78,2.99,0.63,2.04,1.83,2.42,1.35,
March,,,,,,,,,3.07,0.61,0.6,4.66,1.05,1.31,0.26,2.03,2.18,3.97,2.02,
April,,,,,,,,,3.73,2.54,4.57,2.17,1.33,2.24,0.17,0.85,3.71,4.5,4.58,
May,,,,,,,,,1.36,2.72,2.1,1.35,2.45,2.08,2.29,2.49,3.56,2.46,1.72,
June,,,,,,,,,3.33,0.66,2.31,1.27,4.57,3.02,2.01,4.09,1.1,2.17,2.13,
July,,,,,,,,1.8,1.85,2.44,1.71,2.7,0.63,2.13,3.2,3.13,1.5,1.42,2.42,
August,,,,,,,,0.9,2.71,1.16,2.03,1.66,5.78,2.14,1.09,1.25,3.02,0.23,0.81,
September,,,,,,,,0.89,4.34,3.4,4.33,0.84,3.66,2.44,0.51,1.32,2.66,1.03,3,
October,,,,,,,,6.85,2.64,2.76,2.13,2.37,4.64,3.74,2.87,3.54,2.38,5.25,2.4,
November,,,,,,,,2.61,1.45,1.86,3.13,1.7,8,2.42,1.71,0.8,1.02,1.39,,
December,,,,,,,,4.8,5.3,3.98,2.46,2.06,6.24,2.29,1.36,2.27,3.83,0.62,,
Total,,,,,,,,,36.15,26.19,28.87,25.96,45.12,29.54,19.48,23.88,30.88,28.04,,
