MUSWELL-HILL-COLNEY-HATCH-LANE-8-INCH-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ285900,Long,-0.14630451,Lat,51.5942,Elevation,310,ft.,,,,,,,,,,,,
Station no,RR2322,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,4.86,1.52,2.87,0.32,1.29,1.37,,,,,,,
February,,,,,,,,1.75,1.64,3.97,2.36,4.03,1.44,,,,,,,
March,,,,,,,,2.66,0.86,1.62,1.02,2.31,1.38,,,,,,,
April,,,,,,,,2.92,4.44,2.73,2.3,0.64,3.37,,,,,,,
May,,,,,,,,2.4,3.47,3.2,0.35,1.26,1.44,,,,,,,
June,,,,,,,,0.53,3.95,5.02,3.63,1.82,2.56,,,,,,,
July,,,,,,,,3.8,0.56,4.02,4.61,2.29,2.57,,,,,,,
August,,,,,,,,3.79,6.13,5.18,0.63,4.51,1.54,,,,,,,
September,,,,,,,,1.07,1.17,3.33,3.76,2.02,3.06,,,,,,,
October,,,,,,,,2.1,1.71,0.77,5.36,3.04,,,,,,,,
November,,,,,,,,3.98,3.29,0.72,2.11,2.86,,,,,,,,
December,,,,,,,,2.03,1.54,0.93,3.4,3.03,,,,,,,,
Total,,,,,,,,31.89,30.28,34.36,29.85,29.1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is South West of the corner of Colney Hatch Lane and Pages Lane. There is a reference to a garden in Pages Lane on one of the sheets and the distance information and altitude point to the gauge being located here. For part of the time there were two gauges at the same location an 8 inch and 5 inch; the 5 inch has the longer record.,,,,,,,,,,,,,,,,,,,,
"The 2 gauges overlap for neary 6 years  and there are 16 duplicated readings out of 69, however, the majority of the other readings differ by 0.03 inches or less, therefore the duplicated readings are probably coincidental",,,,,,,,,,,,,,,,,,,,
