"BANCHORY, WOODLANDS SCHOOL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 78895 95730,Long,-2.349534,Lat,57.052145,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.78,2.94,3.56,2.23,3.23,1.73,1.77,6.73,8.04,3.08,4.93,1.62,4.05,5.43,4.27,1.83,4.73,1.89,,,,
February,,,,,,,,,,2.83,2.11,2.4,0.31,4.46,0.54,1.74,5.12,3.14,1.12,3.53,1.81,4.83,2.7,1.03,1.35,1.89,1.46,,,,
March,,,,,,,,,,0.35,1.81,1.31,3.63,3.12,2.83,2.85,1.92,3.55,0.3,3.23,2.69,1.8,1.49,0.52,1.23,0.36,2.09,,,,
April,,,,,,,,,,2.3,4.78,2.22,4,1.69,9.44,5.64,0.58,1.56,0.48,0.75,1.65,3,1.88,1.75,2.8,1.07,0.28,,,,
May,,,,,,,,,,2.34,1.44,3.93,3.1,1.82,3.49,1.96,1.04,1.91,2.97,1.68,1.32,2.23,3.36,3.96,3.61,4.18,2.23,,,,
June,,,,,,,,,,2.14,2.42,3.22,1,1.03,1.01,4.43,1.75,1.46,3.18,1.85,0.41,1.58,1.09,1.61,2.31,2.84,3.68,,,,
July,,,,,,,,,,4.64,1.88,3.9,2.72,3.5,2.22,2.01,5.26,3.97,4.68,3.99,9.6,3.11,2.64,1.52,2.35,2.92,4.84,,,,
August,,,,,,,,,,3.93,8.6,3,2.02,1.17,5.55,2.13,1.38,2.45,1.3,2.21,1.13,4.84,3.32,3.15,1.33,4.95,3.55,,,,
September,,,,,,,,,,1.52,6.85,1.3,2.58,1.48,3.12,4.05,2.54,0.69,4.06,2.11,1.91,0.45,3.05,2.76,2.23,2.67,4.12,,,,
October,,,,,,,,,,3.72,3.3,1.15,9.29,6.15,3.87,3.47,0.82,4.6,3.59,6.22,6.82,5.66,4.15,3.1,5.65,3.78,0.22,,,,
November,,,,,,,,,,4.24,4.66,6.07,1.49,5.01,2.06,6.11,2.19,1.39,3.76,4.28,6.27,6.43,0.85,1.81,3.36,1.87,7.48,,,,
December,,,,,,,,,,11.76,5.77,1.25,2.38,3.25,8.54,3.99,2.06,4.42,6.04,1.84,3.39,0.8,2.57,1.65,3.61,6.44,4.09,,,,
Total,,,,,,,,,,41.55,46.56,33.31,34.75,35.91,44.4,40.15,31.39,37.18,34.56,36.62,38.62,38.78,32.53,27.13,31.66,37.7,35.93,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Jan adj for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Jul Aug apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,849250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
