HARROGATE BEAVER DYKE RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE229547,Long,-1.652246,Lat,53.987845,Elevation,575,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,0.94,3.18,1.71,1.97,0.93,3.24,4.45,0.9,2.44,1.94,4.22,4,1.75,1.31,2.07,2.65,0.84,4.07,1.25,1.65,1.03,3.62,1.58,4.39,4.23,1.79,4.58,1.85,3.19,2.82,4.4,4.23,4.78,3.7,1.58,2.18,2.79,3.14,2.52,6.14,1.64,6.08,2.28,2.68,2.15,2.41,1.9,3.94,4.27,4.46,5.08,2.16,5.1,3.25,4.01,3.52,3.74,3.23,2.67,7.01,1.1,1.87,2.73,2.21,0.58,2.66,2.56,4.85,2.81,2.89,3.75,6.23
February,,,,,,,,,,1.78,1.19,0.12,2.66,3.35,5.1,0.5,0.79,3.16,2.35,1.49,4.29,1.35,1.35,2.67,3.52,1.48,1.93,1.56,1.66,1.04,2.8,2.77,2.24,1.19,1.74,4.13,4.63,0.72,3.62,2.54,2.31,0.15,3.37,5.47,1.07,4.8,2.93,1.43,3.06,0.77,1.26,2.88,0.47,4.25,0.3,4.01,2.99,5.13,1.73,2.68,2.35,4.71,1.67,1.59,1.73,3.9,3.88,3.42,1.72,1.37,5.4,2.83,0.36,2.58,2.57,2.72,2.44,3,5.88,0.29,2.89
March,,,,,,,,,,2.42,2.49,1.95,1.11,0.83,2.51,2.65,3.33,3.94,1.21,1.55,0.84,1.87,0.97,3.47,2.07,2.67,1.96,2.25,4.2,3.81,0.6,2.2,3.72,3.77,3.11,0.93,4.67,2.69,1.4,4.2,2.77,1.71,2.49,1.58,1.2,1.27,1.32,2.17,2.93,0.39,2.71,0.75,2.21,2.04,2.94,1.17,2.83,3.38,0.32,2.51,2.32,3.64,2.39,0.88,0.51,1.28,1.65,7.16,1.35,0.98,1.46,3.63,1.79,0.78,2.14,2.47,1.5,2.88,2.62,1.62,2.83
April,,,,,,,,,,3.47,1.06,2.47,2.11,0.69,2.24,2.25,1.44,2.2,2.81,2.57,1.66,2.79,1.52,1.28,1.71,2.17,0.81,1.43,2.66,2.73,2.98,1.25,0.42,3.15,1.16,1.24,1.65,1.72,0.81,1.71,4.81,1.05,3.29,2.37,1.78,4.09,1.36,2.3,1,1.38,3.36,3.87,3,1.64,3.76,2.11,2.34,3.29,0.22,1.96,2.84,2.47,1.32,1.46,2.63,2.45,1.78,3.62,2.55,2.53,2.66,1.2,1.32,2.5,0.4,1.12,3.04,0.38,1.04,4.39,2.15
May,,,,,,,,,,2.15,2.63,1.85,3.36,2.27,1.54,0.42,0.46,1.16,2.52,3.35,1.45,1.61,2.79,4.16,3.06,0.77,2.54,4.2,2.92,1.84,2.38,1.14,3.16,2.64,1.44,2.18,3.31,2.19,3.44,1.66,2.65,2.03,0.89,3.58,4.96,5.74,2.45,1.65,2.45,1.83,1.65,3.61,5.28,3.86,1.87,1.51,2.49,2.96,2.93,1.49,0.84,2.5,2.76,2.38,1.4,2.95,2.97,3.52,1,1.78,2.28,6.08,1.65,1.87,4.18,3.18,1.14,1.42,4.47,1.16,1.09
June,,,,,,,,,,0.42,1.88,1.14,4.89,1.85,3.31,2.7,5.15,4.81,1.69,1.52,3.14,1.44,2.05,2.2,1.9,1.46,1.26,4.03,1.03,3.61,2.86,2.92,6.05,1.44,3.95,0.5,1.85,2.09,1.02,1.37,1.57,0.09,1.46,0.83,2.26,0.06,3.98,3.04,5.36,0.98,2.18,6.23,0.59,1.68,2.14,3.21,5.33,2.56,3.19,2.09,0.52,0.1,1.27,2.33,2.5,3.13,2.62,3.69,3.22,0.85,0.73,0.96,1.69,1.71,2.24,2.42,3.19,2.12,3.91,1.79,1.34
July,,,,,,,,,,1.47,2.65,3.45,1.54,2.28,4.06,5.18,2.04,0.96,1.46,1.92,2.92,2.15,2.19,3.72,3.22,1.06,1.84,2.26,3.48,4.21,2.62,0.32,5.22,0.95,4.77,3.97,2.73,1.38,4.36,3.67,6.92,1.82,4.78,3.82,4.32,0.96,2.46,4.74,0.83,3.24,5.37,4.44,4.2,2.16,1.84,0.98,4.27,1.91,3.53,5.54,4.81,2.59,2.41,1.97,4,2.51,4.53,2.21,1.73,2.47,3.69,2.21,1.19,2.96,1.8,1.32,5.51,3.16,4.2,2.41,4.84
August,,,,,,,,,,3.66,4.23,3.27,3.52,2.82,2.94,2.86,2.01,3.92,3.46,1.6,6.12,1.18,3.39,3.74,3.96,3.94,2.48,1.92,2.01,3.97,3.98,2.58,6.13,1.23,1.52,2.69,2.41,6.82,3.11,2.34,1.6,4.16,6,3.97,2.83,2.83,3.3,7.74,3.95,2.34,3.5,4.41,1.39,0.59,1.53,2.19,2.65,1.56,4.39,2.56,0.72,3.67,2.71,3.17,3.19,3.84,5.16,0.69,4.54,1.98,5.57,5.24,2.98,4.32,6.81,2.11,7.75,5.78,2.61,0.86,3.32
September,,,,,,,,,,1.06,1.83,2.27,1.28,1.68,0.94,1.83,4.18,2.88,0.95,4.03,0.67,1.01,1.21,4.29,1.41,2.28,0.77,0.9,3.35,1.91,0.2,2.96,1.89,1.55,1.71,0.56,2,1.24,7.68,1.84,1.08,1.11,3.61,2.82,3.43,2.33,1.69,3.65,0.42,0.88,4.07,6.1,2.86,2.29,2.32,5.99,3.07,1.32,2.7,1.39,2.25,0.51,2.3,3.69,5.87,1.71,6.24,1.88,2.54,1.09,3.86,2.22,4.29,2.87,2.9,2.12,5.2,4.51,4.04,0.21,4.17
October,,,,,,,,,0.31,4.64,1.32,3.48,6.31,2.37,5.15,4.56,3.58,1.86,5.24,3.06,3.8,1.9,3.76,8.12,0.87,2.01,5.29,8.26,2.07,2.24,4.21,3.16,3.26,2.65,2.43,1.58,5.35,4.23,1.83,3.65,3.29,2.01,1.12,3.3,3.42,3.68,3.88,3.1,5.22,3.15,2.73,1.3,3.99,4.11,2.82,5.62,2.34,2.66,5.96,2.94,3.44,4.52,2.53,1.93,2.99,5.06,1.93,1.6,1.34,3.27,1.84,1.04,3.52,2.08,4.92,2.63,1.58,3.89,2.61,3.07,7.68
