NEWPORT-WW-FRIAR-ST-YARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST312879,Long,-2.9944142,Lat,51.585737,Elevation,32,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.15,1.11,2.02,1.25,7.17,5.66,1.93,2.12,5.25,5.61,1.05,7.17,3.07,2.58,1.71,4.95,1.51,5.34,6.94,1.98,3.77,3.65,1.13,4.75,5.09,6.55,4.8,3.73,2.16,5.08,4.58,7.49,4.64,9.31,1.45,6.97,2.41,6.34,2.7,3.93,0.81,4.45,4.47,5.95,7.78,3.96,5.48,4.78,7.16,4.37,3.51,5.65,3.29,8.94,1.32,1.4,5.25,3.81,,,,,,,,
February,,,,,,0.12,0.59,4.14,1.56,3.79,7.63,0.93,1.79,2.47,5.92,0.98,4.02,2.04,2.18,0.67,5.53,3.93,3.29,2.05,4.37,4.5,6.23,1.48,2.98,5.23,1.66,0.06,4.91,7.77,0.55,5.58,3,3.71,4.68,1.2,0.45,2.7,0.05,3.77,0.63,3.99,1.97,5.85,1.32,2.58,4.12,4.08,0.26,1.93,0.48,4.69,3.52,1.6,2.35,2.05,7.43,4.61,0.52,,,,,,,,
March,,,,,,4.24,4.57,4.88,1.06,2.39,1,2.39,2.35,5.69,1.88,6.22,2.67,2.04,3.65,5.38,1.27,2.09,6.95,6.28,5.17,1.18,4.61,3.43,2.91,6.25,3.74,2.74,4.95,1.52,2.12,0.23,0.49,3.43,4.62,0.6,2.91,1.01,2.57,4.03,2.04,0.89,3.52,3.69,0.32,1.33,3.09,3.14,2.91,1.78,0.16,1.77,1.26,8.46,2.05,1.87,2.39,4.34,2.67,,,,,,,,
April,,,,,,2.96,0.97,5.08,2.22,4,1.64,4.62,2.28,2.4,2.22,2.65,1.02,3.06,3.45,2.37,2.32,3.15,0.32,5.22,2.61,1.2,1.38,1.62,2.97,1.66,5.09,0.59,3.1,2.86,3.79,1.98,2.37,1.62,1.28,0.8,3.29,3.32,3.94,1.49,3.07,6.17,3.02,3.42,0.09,3.8,2.58,1.02,2.32,0.98,2.38,2.16,2.18,3.44,2.96,3.28,2.74,3.79,2.87,,,,,,,,
May,,,,,,0.27,0.25,1.39,3.11,2.3,2.98,1.06,1.72,4.02,3.4,0.24,3.61,3.93,2.18,1.57,2.33,1.6,2.55,2.84,2.03,3.09,4.48,5.28,1.88,0.47,3.81,2.03,1.13,2.13,5.81,4.93,2.23,0.9,0.71,3.53,2.02,6.8,5.7,3.3,1.73,0.71,1.6,2.37,3.53,0.98,2.55,1.99,4.95,4.18,0.38,3.77,4.12,2.73,3.43,3.71,2.44,2.59,,,,,,,,,
June,,,,,,1.35,2.52,3.03,1.95,1.67,2.37,3.08,2.99,2.02,1.01,3.3,3.05,4.01,0.89,2.5,4.1,2.54,6.34,1.85,3.29,1.01,3.41,2.78,1.25,1.2,3.35,0.08,1.06,0.9,2.52,0.01,2.39,3.59,2.53,2.18,0.96,4.55,1.39,1.14,1.59,4.25,3.91,1.8,1.88,2,1.1,2.39,0.12,2.33,2.92,4.03,4.22,2.1,2.55,0.51,1.6,0.99,,,,,,,,,
July,,,,,,4.18,1.44,1.68,1.6,0.22,1.45,2.61,1.46,2.95,4.97,0.82,0.85,3.14,3.4,2.39,2.48,0.1,3.96,0.25,6,5.07,1.59,2.25,4.32,2.49,4.73,0.98,4.49,2.37,6.07,4.9,2.21,5.14,3.08,2.23,3.51,3.18,3.51,1.82,0.57,0.56,8.21,3.83,4.38,7.09,4.69,3.79,1.93,2.54,2.9,3.09,2.14,2.49,1.69,1.42,4.55,0.83,,,,,,,,,
August,,,,,,4.5,1.85,7.55,4.51,1.29,3.92,3.38,4.23,4.93,2.63,4.8,2.75,3.72,6.36,2.88,5.27,3.56,7.93,1.46,3.06,2.15,4.34,8.41,3.16,3.7,1.67,3.44,4.09,3.62,6.64,4.25,4.28,5.16,3.76,3.08,5.07,4.65,2.65,1.43,3.12,1.79,0.99,2.23,3.65,2.08,0.09,5.11,4.71,4.16,2.99,6.3,7.45,1.17,3.81,2.26,7.05,5.22,,,,,,,,,
September,,,,,,0.97,7.73,4.57,2.52,2.3,1.53,2.39,2.49,4.13,2.36,2.52,1.12,0.91,3.15,4.62,0.19,1.73,0.79,4.28,2,1.15,1.69,3.13,9.77,2.04,3.83,2.87,2.43,2.82,7.12,5.32,0.89,5.98,0.84,0.49,4.25,1.31,4.41,2.49,3.37,9.51,2.79,1.82,1.72,0.93,1.01,0.45,3.55,3.19,5.58,2.95,5.67,1.55,3.69,2.49,6.25,4.15,,,,,,,,,
October,,,,,,3.98,4.7,1.94,7.52,3.5,5.26,2.07,3.75,9.63,1.42,2.44,6.95,6.48,2.38,7.76,4.3,4.64,5,4.32,2.5,4.69,8.67,6.15,2.73,2.57,3.09,2.04,1.48,6.36,6.39,5.82,3.89,4.03,7.31,6,4.49,0.74,7.12,4.34,2.8,6.19,1.73,3.7,8.02,3.1,6.61,2.61,2.86,2.66,5.47,5.59,1.18,0.82,5.22,7.94,1.72,1.58,,,,,,,,,
