"NEWPORT W.W. (FRIAR STREET YARD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4013,,,,,,,,,,,
,MISFILED,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,-999.00,-999.00,,,,,,,,,,
February,-999.00,-999.00,,,,,,,,,,
March,-999.00,-999.00,,,,,,,,,,
April,-999.00,-999.00,,,,,,,,,,
May,-999.00,-999.00,,,,,,,,,,
June,-999.00,-999.00,,,,,,,,,,
July,-999.00,-999.00,,,,,,,,,,
August,-999.00,-999.00,,,,,,,,,,
September,-999.00,-999.00,,,,,,,,,,
October,-999.00,-999.00,,,,,,,,,,
November,-999.00,-999.00,,,,,,,,,,
December,-999.00,-999.00,,,,,,,,,,
Total,-999.00,-999.00,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-999.00,-999.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
