BRESSAY LIGHTHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,HU 48926 37625,Long,-1.121445,Lat,60.120273,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,4.55,3.1,2.4,2.55,6.05,2.54,5.7,5.6,6.25,4.28,3.73,2.17,2.41,5.96,4.7,3.43,5.15,3.41,3.2,3.15,1,1.15,1.15,2.5,3.55,8.05,2.27,6.33,4.47,3.8,4.97,6.08,3.15,4.4,4.65,10.85,3.1,3.4,1.6,3.6,4.7,6.6,3.1,4.2,5.5,6.5,7.2,5,7.3,3.27,1.48,3.8,2.86,4.22,2.28,3.54,4.27,7.61,1.04,1.38,1.93,2.42,2.83,2.4,1.16,1.12,,,2.89,2.1,2.06,2.14
February,,3.38,1.5,1.85,1.15,3.13,3.79,4.26,3.9,3.71,6.07,2.58,2.07,5.93,3.51,1.54,2.33,2.27,2.3,2.65,0.95,0.45,6.25,5.05,3.7,5,2.5,5.76,2.04,3.87,3.32,3.51,2.36,1.9,3.3,4.33,11.4,1.5,3.6,2.4,4.8,2.6,1.2,2.2,2.1,6.8,3.7,5.2,7.9,4.5,3.14,1.7,2.18,3.42,5.18,2.36,2.4,3.62,1.99,0.18,2.65,1.14,3.87,2.76,2.82,1.72,1.28,,,1.12,1.09,1.25,0.95
March,,6.93,2.5,4.95,0.75,2.73,2.7,2.65,2.33,2.08,3.6,1.99,1.52,1.26,1.78,3.93,2.92,1.01,5.07,1.95,2.81,1.75,2.6,3.65,7.45,2.65,4.37,5.27,1.93,1.96,2.11,3.33,5.72,2.75,2.82,6.03,4.1,1.1,3,4.5,2.4,4.3,1,2.4,4.5,7,3.6,4.4,4.8,4.9,3.98,2.43,1.6,1.47,4.58,2.31,3.9,1.62,1.91,4.77,0.72,1.49,4.81,3.62,1.28,0.65,1.39,,,1.07,0.67,0.49,2.34
April,,3.05,0.4,0.3,2.3,4.17,1.65,2.08,0.71,4,2.85,2.1,2.71,2.57,3.65,1.79,3.49,1.6,1.76,2.15,0,0.2,2.3,1.1,1.45,0.45,2.15,1.32,3.2,2.15,3.15,1.21,1.31,0.69,2.05,1.7,0.9,3.2,2.6,1.9,3.5,1.4,2.8,4,2.3,3.4,6.1,4.2,2.9,5.2,1.3,2.1,3.94,2,3.63,2.74,1.89,1.22,3.24,0.66,1.55,2.48,1.38,1.38,3.34,1.01,1.95,,,2.11,0.46,0.94,1.67
May,,0.3,2.2,1.45,2.72,2.09,2.68,1.57,1.6,0.93,2.27,1.78,1.51,0.7,2.81,1.83,1.34,1.91,1.28,1.25,1.25,1.25,1.1,1.7,0.6,0.8,3.47,0.99,2.95,1.62,2.2,0.47,1.59,3.12,3.3,0.15,1.75,1.2,0.9,1.3,2.4,3.6,1.2,0.2,1,1.4,2.9,2.1,4.1,0.7,2.26,1.95,2.07,1.74,4.68,2.23,3.96,0.56,5.65,2.57,1.05,0.06,2.19,2.14,1.8,2.17,1.89,,,0.41,0.82,0.79,1.01
June,,0.7,1.55,0.2,1.28,1.45,2.42,0.6,0.88,0.94,2.12,1.22,1.13,1.12,4.2,1.66,2.25,1.44,1.85,1.45,2.3,0.7,0.2,0.9,1.35,0.85,1.38,2.03,1.97,1.35,1.87,0.48,2.82,1.6,1.98,0.75,1.1,1.7,1.9,1.6,2.2,1.8,0.2,2.3,2.6,1.6,1.9,1.6,1.4,2.61,1.75,1.48,1.92,1.43,2.25,1.4,0.62,1.41,3.17,1.54,3.64,2.01,0.53,1.22,0.99,0.67,1.68,,,1.21,2.31,1.31,2.08
July,,1.05,0.9,1.65,3.1,0.92,2.95,2.35,1.84,0.94,0.85,2.23,0.36,1.66,3.07,4.37,0.77,3.98,1.35,4.1,0.2,1.7,1.9,3.05,3.05,1.45,1.39,1.43,4.16,2.75,2.37,3.71,4.3,6.37,1.65,4,1.4,2.6,2.9,2.2,0.6,2,1.4,1.4,2.11,5,1.7,3.2,4.1,1.16,1.26,1.68,1.39,1.46,2.32,0.33,2.62,4.08,2.67,2.1,2.73,1.15,1.8,1.51,2.5,1.14,3.75,,,0.69,0.99,0.6,2.59
August,,2.52,3.45,2.8,1.05,2.97,5.22,2.89,1.47,1.98,8.74,2.4,1.3,4.25,4.6,5.03,5.47,3.49,5.4,2.65,0.23,4.6,1.03,1.35,1.55,2.18,2.17,2.2,2.25,2.46,4.66,8.55,2.62,3.84,4.3,5.65,4.75,6.8,2.5,2.1,2.8,1.4,3.6,4.7,2.4,4.1,3,5,5.5,4.18,1.53,2.88,3.5,2.24,3.55,0.54,0.65,2.26,0.35,2.11,3.33,2.75,0.87,1.34,4.04,1.33,0.8,,,0.42,2.6,3.07,4.12
September,0.95,4.35,3.75,2.35,1.8,5.03,4.77,2.53,3.24,2.98,1.28,4.78,1.51,4.04,4.2,3.33,4.29,3.68,3.31,1.2,2.75,2.4,2.95,0.75,3.55,3.1,4.66,5.99,3.25,3,1.3,3.3,3.17,7.4,4.95,5.75,0.3,4.2,5.7,3.3,2.8,4.4,5.1,2.9,2.8,4.3,2.5,2.3,4.9,2.23,2.39,1.85,3.99,3.75,1.28,1.45,2.36,0.67,2.3,4.96,3.09,3.19,1.67,2.45,1.61,2.34,1.55,,,1.45,1.69,2.12,2.57
October,5.18,5.95,4.86,3.2,11.35,5.09,5.35,2.23,4.03,5.18,4.02,1.12,3.16,4.33,5.69,4.51,4.8,5.55,5.68,3.4,2.45,3.25,2.05,2.95,1.7,4.94,7.29,3.63,3.79,3.11,6.29,5.83,4.1,3.6,5.2,8.2,0,6.1,6.2,2.7,5.3,4.9,6.3,3,3.3,7.7,5.2,5.6,7.8,3.68,0.72,5.63,2.9,1.32,3.72,1.35,4.46,0.45,6.62,5.75,3.08,2,0.82,1.7,0.97,1.5,2.69,,,1.82,3.75,3.7,3.43
