BRESSAY,,,,,,,,,,,,
Grid ref,HU489375,Long,-1.121952,Lat,60.119152,,,,,,,
Station no,RR3,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.60,3.10,4.20,5.50,6.50,7.20,5.00,7.30,3.27,1.48,,
February,1.20,2.20,2.10,6.80,3.70,5.20,7.90,4.50,3.14,1.70,,
March,1.00,2.40,4.50,7.00,3.60,4.40,4.80,4.90,3.98,2.43,,
April,2.80,4.00,2.30,3.40,6.10,4.20,2.90,5.20,1.30,2.10,,
May,1.20,0.20,1.00,1.40,2.90,2.10,4.10,0.70,2.26,1.95,,
June,0.20,2.30,2.60,1.60,1.90,1.60,1.40,2.61,1.75,1.48,,
July,1.40,1.40,2.11,5.00,1.70,3.20,4.10,1.16,1.26,1.68,,
August,3.60,4.70,2.40,4.10,3.00,5.00,5.50,4.18,1.53,2.88,,
September,5.10,2.90,2.80,4.30,2.50,2.30,4.90,2.23,2.39,1.85,,
October,6.30,3.00,3.30,7.70,5.20,5.60,7.80,3.68,0.72,5.63,,
November,4.10,2.10,2.80,4.00,4.80,5.40,5.00,4.43,3.37,4.75,,
December,7.80,7.00,6.00,3.50,9.40,3.60,4.20,3.39,3.48,5.80,,
Total,41.30,35.30,36.11,54.30,51.30,49.80,57.60,44.28,28.45,33.73,,
Calc annual,41.30,35.30,36.11,54.30,51.30,49.80,57.60,44.28,28.45,33.73,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
