"PURLEY PUMPING STATION",,,,,,,,,,,,
Grid ref,TQ312614,Long,-0.117953,Lat,51.336561,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.13,4.82,1.04,1.66,1.13,,
February,,,,,,1.00,2.39,1.51,1.55,0.94,,
March,,,,,,3.11,1.13,0.86,3.75,3.66,,
April,,,,,,1.68,0.68,3.12,2.55,2.01,,
May,,,,,,0.88,1.52,1.97,2.38,1.19,,
June,,,,,,5.39,2.90,2.20,1.70,2.76,,
July,,,,,,1.95,0.75,1.32,3.13,3.71,,
August,,,,,,2.51,1.36,2.40,3.87,2.16,,
September,,,,,,1.90,1.61,0.56,1.35,3.45,,
October,,,,,,1.23,4.16,4.34,2.56,4.74,,
November,,,,,,4.29,4.95,2.72,0.79,1.12,,
December,,,,,,0.52,1.55,3.46,2.75,3.67,,
Total,,,,,,25.59,27.82,25.50,28.04,30.54,,
Calc annual,0.00,0.00,0.00,0.00,0.00,25.59,27.82,25.50,28.04,30.54,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
