STRATTON-ON-FOSSE (GREYSTONES),,,,,,,,,,,,
Grid ref,ST652504,Long,-2.500014,Lat,51.251698,,,,,,,
Station no,1961/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.75,4.46,0.97,2.66,4.32,,,,,,,
February,5.51,1.05,3.06,3.79,2.76,,,,,,,
March,5.05,4.86,1.03,4.30,1.53,,,,,,,
April,4.56,2.39,3.33,0.41,1.57,,,,,,,
May,2.71,4.26,2.15,2.93,4.21,,,,,,,
June,0.77,2.77,2.05,5.17,3.33,,,,,,,
July,2.02,1.00,6.27,3.22,0.22,,,,,,,
August,6.93,6.21,3.67,3.78,1.05,,,,,,,
September,2.72,4.54,4.10,4.26,2.64,,,,,,,
October,0.73,5.10,3.04,4.44,2.04,,,,,,,
November,10.05,5.16,2.72,8.17,4.15,,,,,,,
December,3.14,4.52,1.60,3.60,5.70,,,,,,,
Total,48.94,46.32,33.99,46.73,33.52,,,,,,,
Calc annual,48.94,46.32,33.99,46.73,33.52,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
