EALING-GRANGE-PARK-2ND-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ182803,Long,-0.2981831,Lat,51.509276,Elevation,97,ft.,,,,,,,,,,,,
Station no,RR7560,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,0.74,1.62,1.21,,,,,,,,
February,,,,,,,,,,0.38,2.75,1.3,,,,,,,,
March,,,,,,,,,,2.46,0.89,1.35,,,,,,,,
April,,,,,,,,,,1.71,1.09,1.75,,,,,,,,
May,,,,,,,,,,1.73,1.78,2.35,,,,,,,,
June,,,,,,,,,,3.11,3.24,2.18,,,,,,,,
July,,,,,,,,,,3.07,2.42,1.23,,,,,,,,
August,,,,,,,,,,1.15,2.93,0.58,,,,,,,,
September,,,,,,,,,,2.48,0.43,1.47,,,,,,,,
October,,,,,,,,,,3.48,2.29,2.85,,,,,,,,
November,,,,,,,,,,0.75,2.45,3.5,,,,,,,,
December,,,,,,,,,,2.37,3.32,4.26,,,,,,,,
Total,,,,,,,,,,23.43,25.21,24.03,26.95,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is 29 Grange Park. Altitudes match. ,,,,,,,,,,,,,,,,,,,,
Altitudes match. Gauge moved to Webster Gardens end of June 1913.,,,,,,,,,,,,,,,,,,,,
