BRYNDERI-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SO393172,Long,-2.8826346,Lat,51.850079,Elevation,530,ft.,,,,,,,,,,,,
Station no,4030/6/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,4.56,2.12,1.15,2.67,3.47,4.8,3.33,2.99,5.74,5.08
February,,,,,,,,,,,4.76,0.46,,3.75,2.03,0.47,4.69,5.55,0.37,4.64
March,,,,,,,,,,,4.27,2.04,0.83,3.39,1.55,0.6,3.2,1.14,3.49,2.37
April,,,,,,,,,,,2.09,2.39,3.09,0.22,0.46,2.46,0,0.53,3.7,2.85
May,,,,,,,,,,,4.82,3.28,2.13,3.19,,0.75,1.96,3.55,2.7,1.5
June,,,,,,,,,,,0.72,2.56,2.14,4.51,4.75,2.41,1.04,3.5,2.85,1.98
July,,,,,,,,,,,1,1.21,4.18,1.52,,3.88,3.37,3.16,2.74,3.45
August,,,,,,,,,,,4.58,5.57,4.26,3.18,1,3.94,2.8,2.77,0.76,2.98
September,,,,,,,,,,,4.42,3.48,3.72,3.43,1.78,4.21,5.18,7.25,0.05,4.77
October,,,,,,,,,,,0.93,4.3,3.63,5.62,1.25,1.61,1.86,4.72,2.54,8.96
November,,,,,,,,,,,7.21,3.99,3.07,9.96,3.63,0.81,2.5,2.23,6.22,6.91
December,,,,,,,,,,,3.88,,1.41,3.84,5.25,5.53,3.65,4.49,10.28,4.15
Total,,,,,,,,,,,43.24,,,45.28,,31.47,33.58,41.88,41.44,49.64
,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 10692 LLANTILIO CROSSENNY: BRYNDERI SCHOOL  Start 1950 end 1991,,,,,,,,,,,,,,,,,,,,
"NGR is from the 1950s record and is Brynderi House, apparently used as a school. Altitudes match. 1940s record is blank",,,,,,,,,,,,,,,,,,,,
