DOLTON-HILLIERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS572121,Long,-4.0313,Lat,50.8914,Elevation,380,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,5.67,2.66,2.74,2.4,5.54,1.47,3.71,5.68,1.86,4.57,2.4,1.62,5.09,4.78,6.01,4.14,4.57,3.08,4.41,3.37,5.41,7.48,6.55,1.45,5.05,3.7,5.02,2.29,,,,,,,
February,,,,,,,,1.52,2.91,0.66,5.49,2.36,2.13,1.25,2.72,4.96,7.39,0.72,2.41,2.34,1.23,0.21,5.49,6.93,1.3,6.25,2.62,3.07,4.04,1.44,1.87,3.47,0.03,3.41,,,,,,,
March,,,,,,,,1.23,3.45,6.13,0.58,1.81,5.94,4.77,7.16,0.75,3.32,2.75,1.6,5.09,3.84,2.78,4.28,1.2,1.73,0.96,0.65,4.36,3.74,0.58,2.29,1.93,2.26,2.61,,,,,,,
April,,,,,,,,4.47,2.81,2.74,1.95,2.57,0.16,4.63,1.96,1.33,1.11,2.07,2.63,2.73,3.91,0.83,3.56,2.86,2.72,2.68,1.98,2.01,1.77,0.95,3.22,3.06,2.78,1.16,,,,,,,
May,,,,,,,,2.62,1.71,1.41,3.14,1.39,2.21,2.15,1.28,2,1.92,2.38,2.05,0.87,1.64,1.54,1.67,2.66,3,4.13,1.61,0.89,1.37,2.99,1.96,3.05,2.87,2.11,,,,,,,
June,,,,,,,,3.3,0.97,2.74,3.03,2.73,5.93,1.59,2.37,1.46,2.67,3.85,0.96,1.35,2.2,0.1,1.4,0.86,2.65,0,1.88,2.89,1.93,2.27,1.2,3.16,0.82,1.7,,,,,,,
July,,,,,,,,2.12,2.45,2.44,2.74,0.38,3.06,0.53,4.52,3.77,1.39,2.83,4.82,1.24,4.16,1.5,2.87,2.09,3.77,3.1,1.7,5.8,2.36,2.25,2.37,4.79,3.64,2.56,,,,,,,
August,,,,,,,,2.73,3.89,1.71,4.88,1.85,7.52,1.61,3.03,2.57,4.53,6.32,3.75,3.17,1.7,2.39,3.28,3.21,5.2,2.88,2.73,3.63,2.65,4.03,3.34,4.13,3.48,1.45,,,,,,,
September,,,,,,,,0.74,2.09,2.33,0.23,2.24,1.17,1.34,2.42,1.27,3.39,1.84,8.69,1.52,2.05,1.86,3.4,3.7,5.39,4.74,2.15,7.44,1.54,1.11,4.49,1.84,6.65,1.37,,,,,,,
October,,,,,,,,6.26,1.77,7.32,5.57,4.08,5.47,3.75,3.79,4.05,5.4,7.65,2.22,2.33,4.24,1.95,1.28,6.9,5.49,3.69,3.35,2.73,5.76,6.63,5.71,1.18,8.58,4.5,,,,,,,
November,,,,,,,,3.01,1.44,2.08,6.82,5.54,3.22,4.48,3.78,2.66,4.86,2.91,2.74,4.11,2.64,2.64,1.98,3.78,3.47,3.75,8.2,4.16,4.71,9.12,4.64,6.71,2.66,1.37,,,,,,,
December,,,,,,,,5.69,4.3,5.97,4.32,7.01,7.03,3.82,6.61,8.93,4.16,1.05,5.73,7.22,3.66,3.54,6.59,4.66,5.59,6.17,0.94,2.84,5.12,7.93,4.92,2.93,2.09,2.02,,,,,,,
Total,,,,,,,,36.35,30.53,37.93,44.29,33.43,47.55,35.6,41.5,38.32,42.54,35.99,42.69,36.75,37.28,23.48,40.37,41.93,44.72,41.72,33.22,47.3,41.54,40.75,41.06,39.95,40.88,26.55,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location unknown – assumed house was near road now called Hilliers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance to house changed several times but house stayed to NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
