SOUTHAM STOCKTON RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP437635,Long,-1.3608,Lat,52.2687,Elevation,289,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,1.84,0.49,0.65,1.8,2.55,2.01,1.44,2.81,1.96,0.74,0.7,2.08,1.89,0.78,1.6,,,,,,
February,,,,,,,,,,2.85,2.5,2.64,1.99,3.13,0.85,2.7,0.43,0.44,0.72,1.87,0.66,0.06,0.83,2.67,,,,,,
March,,,,,,,,,,0.64,1.38,1.22,1.22,0.96,1.44,0.75,1.83,0.96,2.19,2.6,1.37,0.89,0.55,0.14,,,,,,
April,,,,,,,,,,2.56,1.57,0.58,3.17,1.31,1.98,2.29,1.29,1.41,1.51,2.38,0.94,1.59,0.88,0.32,,,,,,
May,,,,,,,,,,2.55,1.04,0.97,1.53,2.33,1.18,2.68,4.52,1.63,0.53,4.33,1.06,2.33,1.58,2.06,,,,,,
June,,,,,,,,,,4.81,1.56,2.03,4.29,3.16,1.26,1.92,1,1.22,1.47,1.44,1.4,1.74,2.23,1.15,,,,,,
July,,,,,,,,,0.89,3.62,7.78,2.1,2.88,3.67,5.09,0.2,2.33,0.51,5.89,1.77,2.73,1.74,2.67,3.37,,,,,,
August,,,,,,,,,6.46,3.76,1.39,5.81,1.45,0.66,2.35,2.64,1.17,1,2.17,2.3,1.88,3.9,1.94,1.44,,,,,,
September,,,,,,,,,1.61,3.32,4.17,1.43,3.52,3.84,0.86,2.7,2.22,1.71,1.02,1.82,1.26,1.3,1.86,0.96,,,,,,
October,,,,,,,,,2.22,0.83,5.36,2.49,4.37,1.77,1.38,3.56,3.99,1.89,0.43,3.24,1.5,4.8,3.08,,,,,,,
November,,,,,,,,,2.57,0.74,1.83,2.3,4.24,3.13,1.38,3.98,2.36,1.66,3.27,0.97,2.56,1.8,1.55,,,,,,,
December,,,,,,,,,1.79,0.71,2.24,2.79,2.92,0.59,2,0.61,3.11,1.31,2.07,1.42,0.7,2.48,1.52,,,,,,,
Total,,,,,,,,,,28.23,31.31,25.01,33.38,27.1,21.78,25.47,27.06,15.7,22.01,24.84,18.14,24.52,19.47,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt2-page-047.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1880-1889_07_pt4-page-008.csv CORRECTION: 1887 July value is 0.51 (JacsHu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1-page-012.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
