BOURTON-ON-THE-WATER-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP167208,Long,-1.7587707,Lat,51.885512,Elevation,433,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.49,5.09,0.92,3.64,1.93,1.87,3.04,4.1,3.5,2.75,3.54,2.14,3.38,2,4.55,3.44,,1.37,4.65,1.73,3.13,2.53,2.74,,,,,,
February,,,2.2,1.41,3.19,5.36,4.4,1.17,1.32,3.12,1.11,0.41,3.48,5.96,0.57,4.09,2.13,3.72,,0.6,0.34,2.22,0.19,3.87,0.37,,,,,,
March,,,4.85,4.32,3.97,0.91,3.48,2.33,1.47,4.86,3.02,1.47,2.75,2.43,1.26,0.49,0.54,2.98,,0.07,1.96,0.17,2.11,3.06,2.57,,,,,,
April,,,0.12,3.96,1.16,1.08,1.42,1.88,2.93,2.62,5.29,1.42,3.1,2.73,3.45,2.22,3.62,1.54,,1.45,3.2,3.54,3.77,1.24,2.41,,,,,,
May,,,2.28,2.52,1.68,2.93,2.33,3.94,2.27,0.54,1.87,1.49,0.61,1.67,6.27,4.13,2.86,0.97,,2.39,1.37,3.63,6.31,1.9,0.95,,,,,,
June,,,5.46,0.74,2.67,2.36,2.2,1.54,1.04,1.13,3.26,0.44,0.69,0.33,2.23,0.15,2.5,3.96,,1.04,1.52,4.29,1.19,0.96,1.48,,,,,,
July,,,4.44,2.3,3.94,3.92,1.59,2.1,3.4,2.1,4.09,0.22,4.9,3.07,4.01,4.37,1.87,2.52,,1.8,3.14,3.25,1.56,1.32,1.36,,,,,,
August,,,6.66,0.76,1.61,2.43,3.99,5.02,0.93,2.52,1.65,2.47,4.84,2.29,2.84,1.9,1.38,4.18,,1.96,2.53,3.69,2.99,0.59,2.22,,,,,,
September,,,0.88,2.95,1.4,1.31,1.86,2.67,6.19,1.95,1.76,1.49,2.22,2.73,4.1,3.31,1.28,5.9,,0.66,2.99,1.74,3,2.24,2.17,,,,,,
October,,,3.29,4.87,2.39,3.55,5.15,4.41,2.16,2.02,3.15,1.46,0.81,5.18,3.87,3.29,2.65,1.94,,4.32,1.96,0.65,4.53,3.16,1.59,,,,,,
November,,,1.53,3.12,4.75,2.34,3.47,1.08,2.49,1.92,1.01,2.1,1.75,1.68,2.49,1.83,7.2,2.55,,8.7,3.8,4.33,2.37,0.89,1.97,,,,,,
December,,,4.34,1.18,6.24,5.69,3.95,1.51,3.05,4.44,2.83,1.66,4.31,3.45,4.55,2.89,0.43,3.05,,7.23,3.95,1.18,0.97,0.39,6.82,,,,,,
Total,,,40.54,33.22,33.92,35.52,35.77,29.52,30.29,31.32,32.54,17.38,33,33.66,39.02,30.67,31.01,36.75,,31.59,31.41,30.42,32.12,22.15,26.65,,,,,,
