CROWBOROUGH-THE-MANSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ515306,Long,0.16026782,Lat,51.054765,Elevation,730,ft,,,,,,,,,,,,,
Station no,569,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,3.49,6.82,1.75,5.2,2.81,,,,,,,,,
February,,,,,,,,5.35,2.03,0.85,1.5,2.84,,,,,,,,,
March,,,,,,,,5.4,2.34,0.15,1.69,0.98,,,,,,,,,
April,,,,,,,,2.27,2.99,1.14,2.61,4,,,,,,,,,
May,,,,,,,,1.07,1.57,3.01,3.64,3.03,,,,,,,,,
June,,,,,,,,5.15,3.98,1.68,1.4,2.12,,,,,,,,,
July,,,,,,,,3.93,2.26,1.82,3.7,3.61,,,,,,,,,
August,,,,,,,,5.61,2.87,3.63,4.44,4.26,,,,,,,,,
September,,,,,,,,5.6,0.82,0.76,4.29,3.07,,,,,,,,,
October,,,,,,,,3.27,9.3,5.19,2.58,0.82,,,,,,,,,
November,,,,,,,,3.87,6.15,11.75,7.6,6.98,,,,,,,,,
December,,,,,,,,4.7,4.83,8.43,3.65,1.01,,,,,,,,,
Total,,,,,,,,49.71,45.96,40.16,42.3,35.53,,,,,,,,,
