DALWHINNIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN638848,Long,-4.239905,Lat,56.934383,Elevation,1176,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5691/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,4.91,9.96,7.08,9.23,3.12,3.83,12.49,9.61,6.34,0.95,0.62,3.02,6.45,7.02,2.85,6.4,5.43,6.03,5.94,4.79,3.7,2.78,2.3,4.13,2.86,4.1,8.27,4.64,3.07,4.55
February,4.57,0,4.39,1.59,7.11,2.14,5.77,4.46,6.16,1.6,3.7,1.23,6,2.9,6.96,4.52,0.5,6.43,6.14,5.81,2.94,1.55,2.45,2.56,4.03,3.18,5.6,2.8,2.03,5.55
March,1.32,2.43,2.1,3.5,3.26,2.04,1.5,4.46,4.99,3.17,1.19,1.54,4.22,1.49,4.42,1.7,1.63,6.32,2.71,3.61,1.71,3.11,1.79,2.88,1.37,2.99,3.94,2.15,3.82,1.19
April,2.7,4.63,2.26,4.5,3.17,1.83,0.87,0.96,2.54,3.36,1.36,1.98,5.17,3.34,1.94,1.18,9.41,3.56,4.15,4.25,4.92,2.72,3.13,1.71,1.47,2.35,1.62,1.86,3.43,5.42
May,3.96,2.89,1.13,4.38,0.71,1.06,2.62,3.33,1.18,1.48,2.33,3.54,3.07,3.51,4.38,1.03,3.85,3.65,2.61,1.61,1.25,3.37,3.48,5.14,3.58,4.02,1.16,3.97,1.76,1.93
June,3.38,0.97,1.15,1.1,4,1.26,1.69,5.6,2.12,1.25,0.76,1.88,3.7,4.69,3.71,3.94,4.35,4.69,1.69,2.3,1.25,2.86,3.1,2.34,1.61,4.19,1.95,1.61,3.29,2
July,5.6,4.07,3.24,3.5,1.1,5.24,4.58,3.85,4.57,5.87,2.69,3.24,2.63,2.11,1.94,5.53,4.38,3.43,1.34,4.49,2.78,2.09,4.57,2.39,0.58,4.74,4.64,4.45,4.04,2.89
August,3.2,1.52,2.64,4.45,3.38,2.29,3.22,1.51,2.08,2.01,4.85,4.17,3.89,2.98,1.51,2.54,0,5.88,4.33,5.29,4.64,2.65,3.48,3.19,1.07,5.34,4.32,4.08,3.57,6.03
September,1.53,3.8,2.04,5.9,7.74,2.89,3.64,4.44,2.24,2.19,1.32,6.11,4.43,3.39,5.74,4.94,5.02,4.66,1.02,8.7,3.04,3.59,3.91,6.59,4.35,6.95,2.85,4.56,0.74,2.87
October,3.67,8.49,5.61,9.17,10.75,6.73,2.42,11.13,5.45,6.76,5.07,6.12,9.52,5.8,3.98,0.34,2.21,4.46,5,5.11,1.13,8.55,3.57,8.09,4.83,4.92,4.29,4.92,7.43,3.17
November,8.73,5.87,2.58,0.92,5.46,3.81,0.58,10.34,8.49,7.33,6.8,1.79,3.88,6.39,0.58,4.27,8.38,3.76,4.7,4.57,8.28,2.9,7.55,10.69,2.02,3.48,1.9,0.94,6.37,4.43
December,6.09,8.75,0.56,9.19,2.3,9.1,2.8,6.17,2.77,6.07,6.18,8.59,2.8,5.74,7.67,5.45,1.74,9.64,11.05,2.53,6.26,3.96,6.84,9.78,8.93,10.68,6.5,4.56,9.17,5.19
Total,49.66,53.38,34.78,57.43,52.1,42.22,42.18,65.86,48.93,42.04,36.87,43.21,55.76,49.36,45.68,41.84,46.9,62.51,50.68,53.06,41.9,40.13,46.17,59.49,36.7,56.94,47.04,40.54,48.72,45.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deleted dup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_30_pt1,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
