DALWHINNIE STATION,,,,,,,,,,
Grid ref, NN 63442 84867,Long,-4.245816,Lat,56.934877,Elevation,1175,ft,,
Station no,RR2709,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,5.15,9.75,6.01,6.18,,1.37,1.35,
February,,,7.07,0.61,1.67,0.96,,0.77,2.3,1.99
March,,,1.61,1.47,4.86,1.87,,0.79,6.85,3.53
April,,,2.23,1.55,2.52,1.95,,2.63,0.5,7.7
May,,,3.34,2.72,2.31,2.19,,1.33,4,7.91
June,,,4.52,2.74,1.92,2,,,2.25,8.26
July,,,2.54,5.66,3.95,3.06,,4.12,1.15,
August,,,3.3,3.34,4.6,3.72,,,,
September,,,9.75,3.85,6.54,3.81,,,8.29,
October,,,6.11,6,7.43,3.96,,12.43,6.35,
November,,,6.52,3.26,4,2.96,,14.96,6.67,
December,,,4.46,5.99,1.92,5.62,,5.01,0.69,
Total,,,56.6,46.94,47.73,38.28,,,,
,,,,,,,,,,
1876 Described as bad,,,,,,,,,,
