STRATHCONAN SCHOOL HOUSE,,,,,,,,,,
Grid ref,NH 30889 55351,Long,-4.8282,Lat,57.556525,Elevation,449,ft,,
Station no,RR4350,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,4.9,3.4,6.11,7.02,9.54,7.19,4.49,,,
February,2.75,4.05,4.39,1.8,1.4,1.68,5.57,,,
March,0.89,4.53,1.85,2.18,8.5,3.09,11.58,,,
April,5.64,3.13,3.44,3.09,4.84,2.57,3.47,,,
May,1.98,1.01,3.14,5.74,3.12,3.44,1.78,,,
June,2.24,1.57,7.06,2.75,4.02,2.13,3.2,,,
July,2.58,4.42,2.77,3.65,3.32,4.77,2.08,,,
August,4.2,3.68,2.54,5.44,5.91,3.62,3.04,,,
September,3.42,2.07,8.71,6.54,4.71,3.66,3.54,,,
October,4.67,4.55,7.21,9.6,9.01,4.42,,,,
November,2.89,2.76,6.61,5.61,7.46,4.33,,,,
December,6.58,5.33,4.68,8.21,4.21,5.54,,,,
Total,42.74,40.5,58.51,61.63,66.04,46.44,,,,
,,,,,,,,,,
1875 T Deleted est,,,,,,,,,,
see also,,,,,,,,,,
STRATHCONAN-BEAULY,,,,,,,,,,
,,,,,,,,,,
Station no,RR4350,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
