CRACKINGTON-HAVEN,,,,,,,,,,
Grid ref,SX143969,Long,-4.63334,Lat,50.74197,Elevation,50,ft,,
Station no,1893/9/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.7
February,,,,,,,,,,3.93
March,,,,,,,,,,2.21
April,,,,,,,,,,3.57
May,,,,,,,,,,3.3
June,,,,,,,,,,1.14
July,,,,,,,,,,7.18
August,,,,,,,,,,3.13
September,,,,,,,,,,6.35
October,,,,,,,,,,8.84
November,,,,,,,,,,6.6
December,,,,,,,,,,5.78
Total,,,,,,,,,,55.73
,,,,,,,,,,
Gauge situated in valley surrounded by hills to NE and S Gauge needs moving 10ft E,,,,,,,,,,
NGR on sheet at 200ft elevation so NGR 100yds further W to match 50ft elevation,,,,,,,,,,
