PORT MULGRAVE,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ794174,Long,-0.774,Lat,54.546,Elevation,350,ft,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886
January,1.21,1.81,2.67,2.00,2.19,1.46,1.57,2.76,,-999.00,2.93,0.88,2.61,2.01,1.00,0.01,1.61,0.95,1.94,2.64,1.23,2.37
February,1.12,1.46,0.72,0.91,1.30,1.38,1.54,1.62,,-999.00,0.56,1.93,1.41,0.91,1.57,2.05,2.60,1.33,2.63,0.49,0.99,-999.00
March,1.43,2.09,1.78,1.58,1.44,1.45,0.83,2.24,,-999.00,0.44,2.44,2.66,0.99,1.02,1.71,2.40,1.40,2.09,2.10,1.35,-999.00
April,0.97,-999.00,1.95,2.27,1.36,0.52,1.97,2.82,,-999.00,0.79,2.29,3.14,2.02,1.26,1.56,1.15,3.00,1.17,2.21,2.00,2.25
May,2.98,-999.00,1.40,0.84,3.18,1.13,1.87,1.73,,-999.00,0.87,0.87,2.52,2.94,2.56,1.72,1.31,1.40,1.61,0.39,2.70,2.89
June,0.30,-999.00,2.24,0.58,1.45,3.22,2.58,3.21,,1.36,2.61,1.52,1.33,2.01,3.64,2.70,0.60,2.95,2.61,0.61,2.48,0.70
July,0.81,-999.00,3.68,1.34,0.93,0.53,3.15,3.20,,1.66,3.78,3.12,1.68,0.58,2.81,3.59,4.48,2.59,3.65,1.61,0.99,4.48
August,2.45,-999.00,2.50,1.17,1.56,1.78,1.20,2.43,,1.62,1.61,1.92,4.39,4.86,2.21,1.36,4.73,2.72,1.46,1.04,2.94,1.92
September,0.25,1.03,1.67,5.98,1.57,0.78,5.39,4.84,,2.38,1.64,3.09,2.69,1.06,0.66,3.75,4.73,1.19,3.28,1.31,1.44,1.56
October,5.01,2.65,1.36,2.28,2.29,4.10,1.49,3.99,,0.93,3.63,1.71,1.82,1.47,1.07,4.26,3.57,3.26,2.99,0.87,2.95,1.64
November,2.27,1.80,0.89,1.98,3.16,2.54,1.90,4.85,,3.14,6.32,2.18,1.55,4.71,1.07,2.63,1.58,4.18,2.03,2.56,1.78,2.52
December,1.52,1.83,2.68,4.74,2.44,4.23,1.54,4.11,,2.31,1.76,4.47,1.20,4.42,2.17,3.40,2.12,2.66,1.44,1.91,0.70,6.04
Total,20.32,20.17,23.54,25.67,22.87,23.12,25.03,37.80,,,26.94,26.42,27.00,27.98,21.04,28.74,30.88,27.63,26.90,17.74,21.55,30.31
,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/192,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt3/063,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/056,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# Readings for April-August 1866 are presented as an aggregate value of 7.58,,,,,,,,,,,,,,,,,,,,,,
# Readings for mid-January-May 1874 are presented as an aggregate value of 5.52.,,,,,,,,,,,,,,,,,,,,,,
"# The total for 1874 has been omitted, as there is no reading covering the first half of January.",,,,,,,,,,,,,,,,,,,,,,
# Readings for February-March 1886 are presented as an aggregate value of 3.94,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# The site is likely to be Rosedale Cottage.,,,,,,,,,,,,,,,,,,,,,,
