EAST-CLANDON-HATCHLANDS,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ065518,Long,-0.47463,Lat,51.25562,Elevation,300,ft,,,,,,,,,,,,,
Station no,210,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.92,1.76,4.68,1.6,3.16,2.35,2.18,0.92,5.5,6.12,2.62,,
February,,,,,,,,,1.85,0.62,1.08,1.57,0.46,4.33,0.24,3.72,2.05,4.55,0.57,,
March,,,,,,,,,2.72,0.05,1.39,0.38,1.89,3.28,2.77,0.27,1.79,4.22,0.35,,
April,,,,,,,,,2.58,0.85,1.91,4.09,2.6,0.75,2.33,3.27,2.41,2.92,0.22,,
May,,,,,,,,,2.38,2.04,2.91,2.51,4.2,2.95,0.64,1.43,2.47,2.56,1.71,,
June,,,,,,,,,2.6,1.52,0.49,1.62,1.62,1.92,1.72,3.69,3.02,1.75,0.66,,
July,,,,,,,,,2.12,1.46,3.06,4.32,2.74,1.82,1.97,1.1,3.59,1.1,2.7,,
August,,,,,,,,,1.98,2.23,2.48,4.11,1.11,1.04,2.09,3.37,0.67,0.97,1.91,,
September,,,,,,,,,1.31,0.16,3.48,2.14,2.4,2.89,2.08,4.26,2.31,2.12,2.19,,
October,,,,,,,,,6.52,3.74,1.19,0.69,5.39,2.09,1.84,4.08,2.36,2.35,3.11,,
November,,,,,,,,,2.46,7.15,4.58,3.64,1.19,1.1,2.79,6.24,3.99,1.78,4.69,,
December,,,,,,,,,2.68,6.98,2.85,0.66,0.62,0.45,7.5,3.88,3.64,4.87,5.07,,
Total,,,,,,,,,33.12,28.56,30.1,27.33,27.38,24.97,28.15,36.23,33.8,35.31,25.8,,
,,,,,,,,,,,,,,,,,,,,,
Huge grounds but highest area to match elevation to W correct distance from church,,,,,,,,,,,,,,,,,,,,,
1938 Station terminated Observer moved,,,,,,,,,,,,,,,,,,,,,
