CHRISTCHURCH-MILL-HOUSE-HURN,,,,,,,,,,,,
Grid ref,SZ125967,Long,-1.82298,Lat,50.77033,Elevation,25,ft,,,,
Station no,RR8901,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911
January,,,,,,,,,,0.78,3.68,1.3
February,,,,,,,,,,0.33,3.6,1.52
March,,,,,,,,,,4.63,1.07,2.43
April,,,,,,,,,,1.4,2.51,1.49
May,,,,,,,,,,2.07,1.68,0.57
June,,,,,,,,,,3.22,4.69,2.22
July,,,,,,,,,,2.1,3.12,0.24
August,,,,,,,,,,2.68,2.16,0.56
September,,,,,,,,,,3.1,0.17,
October,,,,,,,,,,8.5,5.09,
November,,,,,,,,,,0.53,4.18,
December,,,,,,,,,,4.51,5.83,
Total,,,,,,,,,,33.85,37.78,
,,,,,,,,,,,,
1909 Corrected for wrong day,,,,,,,,,,,,
1911 Sept 24 Gauge moved 300yds NE to Bridge House,,,,,,,,,,,,
