CHRISTCHURCH MILL HOUSE HURN,,,,,,,,,,,,
Grid ref,SZ126968,Long,-1.822686,Lat,50.770650,,,,,,,
Station no,RR8901,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.78,,
February,,,,,,,,,,0.33,,
March,,,,,,,,,,4.63,,
April,,,,,,,,,,1.40,,
May,,,,,,,,,,2.07,,
June,,,,,,,,,,3.22,,
July,,,,,,,,,,2.10,,
August,,,,,,,,,,2.68,,
September,,,,,,,,,,3.10,,
October,,,,,,,,,,8.50,,
November,,,,,,,,,,0.53,,
December,,,,,,,,,,4.51,,
Total,,,,,,,,,,33.85,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.85,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
