SPILSBY - LANGTON,,,,,,,,
Grid ref,TF390705,Long,0.080,Lat,53.213,Elevation,100,ft
Station no,RR4182,,,,,,,
,,,,,,,,
,1875,1876,1877,1878,1879,,,
January,2.04,2.00,3.70,,1.47,,,
February,1.25,2.80,1.82,1.52,3.30,,,
March,0.52,2.66,2.54,1.05,0.92,,,
April,0.47,4.17,3.52,1.00,2.90,,,
May,1.10,0.76,1.62,3.81,3.70,,,
June,3.26,2.71,0.94,1.60,,,,
July,4.90,1.43,2.24,0.73,,,,
August,1.22,1.87,3.85,5.49,,,,
September,2.39,4.97,2.28,1.79,,,,
October,8.04,1.32,1.96,2.54,,,,
November,6.78,3.66,2.62,5.44,,,,
December,1.68,4.78,1.54,1.77,,,,
Total,33.65,33.13,28.63,,,,,
,,,,,,,,
TYRain_1870-1879_06_pt3/054,,,,,,,,
TYRain_1870-1879_06_pt3/055,,,,,,,,
,,,,,,,,
"# Readings for January-May 1875 and September-November 1877 are duplicated with Partney readings, and have been retained.",,,,,,,,
#,,,,,,,,
# The 1878-1879 readings were from a gauge which was temporarily relocated from Partney.,,,,,,,,
#,,,,,,,,
"# The 1875-1877 observer, Robert Mackinder, lived at Langton Cottage.",,,,,,,,
"# The 1878-1879 observer was Rev J Owston, presumably located at neighbouring Langton Rectory.",,,,,,,,
