SPILSBY - PARTNEY RECTORY,,,,,,,,,,,,,,,
Grid ref,TF412683,Long,0.112,Lat,53.193,Elevation,73,ft,,,,,,,
Station no,RR4182,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888
January,1.36,2.04,1.94,3.11,1.95,,0.18,0.74,1.93,2.22,2.42,2.35,2.79,1.70,1.44
February,1.88,1.25,2.58,2.32,,,2.05,4.05,1.47,2.99,1.92,2.77,0.29,0.46,1.78
March,0.94,0.52,2.39,1.65,,,1.87,1.90,1.68,1.89,1.35,1.15,3.10,1.76,2.47
April,0.95,0.47,3.91,3.22,,,2.14,1.25,2.71,1.50,1.54,1.96,1.45,1.24,1.90
May,0.83,1.10,0.78,1.37,,,0.91,1.25,2.10,2.12,1.08,1.33,3.69,2.27,1.01
June,0.98,2.77,2.43,0.76,,4.39,3.00,1.90,2.49,4.09,1.67,2.01,1.10,0.29,1.58
July,0.32,4.81,1.62,2.09,,4.53,5.55,2.11,1.80,3.75,2.93,0.68,3.65,1.61,5.93
August,1.90,1.22,1.42,3.70,,3.30,3.72,4.31,3.08,1.17,1.36,2.48,1.97,1.43,2.80
September,1.80,2.30,5.04,2.28,,4.07,4.57,2.93,2.59,7.46,1.69,3.85,1.14,2.16,1.94
October,2.06,6.39,1.32,1.96,,1.20,6.89,2.83,4.84,2.85,1.88,5.94,3.71,2.44,0.72
November,2.53,5.79,3.23,2.62,,1.60,2.04,2.56,3.29,3.80,1.77,3.25,3.23,2.45,2.70
December,2.67,1.27,4.52,1.93,,0.88,2.24,2.57,4.73,1.81,2.89,1.04,4.40,1.28,1.46
Total,18.22,29.93,31.18,27.01,,,35.16,28.40,32.71,35.65,22.50,28.81,30.52,19.09,25.73
,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/051,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/057,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"# Readings for January-May 1875 and September-November 1877 are duplicated with Langton readings, and have been retained.",,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
"# The gauge moved to Langton, about 2 miles north-east of Partney, for the period February 1878 - May 1879.",,,,,,,,,,,,,,,
