LOCH SLOY (COIREGROGAIN),,,,,,,,,,,,
Grid ref,NN300093,Long,-4.745106,Lat,56.245721,,,,,,,
Station no,5333/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,14.22,9.08,10.89,13.14,7.32,9.20,16.81,15.33,5.74,,,
February,7.15,4.46,7.97,8.52,5.00,5.12,8.49,6.37,6.12,,,
March,6.56,10.05,4.43,8.37,3.17,6.27,11.99,3.28,8.93,,,
April,9.68,5.46,6.68,5.39,7.33,4.42,5.68,5.40,7.71,,,
May,2.57,2.59,6.18,5.33,6.44,7.91,4.74,8.13,3.04,,,
June,4.08,8.03,2.45,7.78,6.27,7.44,4.11,3.62,6.64,,,
July,7.89,5.79,10.59,6.49,1.52,8.94,10.65,6.66,11.47,,,
August,11.34,8.50,8.88,9.59,2.30,10.19,10.39,10.72,5.58,,,
September,9.33,6.57,13.58,16.45,11.44,10.95,8.77,9.63,3.21,,,
October,3.72,11.94,7.51,19.47,10.19,8.64,14.57,11.98,13.39,,,
November,16.74,3.73,22.32,19.00,5.81,8.16,5.74,3.86,13.25,,,
December,19.36,11.09,12.73,27.33,21.14,21.18,16.07,9.95,18.15,,,
Total,112.64,87.29,114.21,146.86,87.93,108.42,118.01,94.93,103.23,,,
Calc annual,112.64,87.29,114.21,146.86,87.93,108.42,118.01,94.93,103.23,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
