NORMANBY IRONWORKS,,,,,,,,,,,,
Grid ref,NZ518208,Long,-1.200111,Lat,54.579761,,,,,,,
Station no,3487/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.27,0.80,2.42,1.83,2.59,1.05,1.27,2.17,,,
February,,0.59,1.70,1.29,1.58,1.49,1.46,2.50,0.72,,,
March,,1.15,0.17,1.23,1.22,0.51,0.81,1.82,0.47,,,
April,,1.50,1.40,0.17,0.91,1.02,0.31,1.39,1.18,,,
May,,0.82,1.53,2.57,2.06,0.28,1.03,2.51,0.34,,,
June,,1.39,2.29,2.18,2.91,3.52,0.56,2.80,1.38,,,
July,,0.83,2.44,1.19,1.30,2.36,3.49,1.74,0.17,,,
August,,1.65,3.89,4.28,0.68,6.40,1.84,2.40,,,,
September,,4.79,1.24,1.34,1.21,1.41,2.62,1.70,,,,
October,,1.89,1.47,3.83,1.46,0.85,1.50,1.04,,,,
November,,3.48,1.22,3.28,1.83,0.88,1.43,0.65,,,,
December,,1.69,0.81,1.82,2.22,1.32,1.36,2.27,,,,
Total,,21.05,18.96,25.60,19.21,22.63,17.46,22.09,,,,
Calc annual,0.00,21.05,18.96,25.60,19.21,22.63,17.46,22.09,6.43,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,,
