LOCH TURRET (GLENTURRET LODGE),,,,,,,,,,,,
Grid ref,NN802293,Long,-3.944714,Lat,56.440617,,,,,,,
Station no,5545/6/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.85,4.00,1.85,6.25,4.30,4.45,9.75,6.38,3.25,6.55,,
February,6.15,2.00,2.05,6.40,3.20,2.35,9.15,4.05,2.50,7.60,,
March,5.77,5.35,1.80,7.05,4.30,4.50,6.05,3.65,5.45,4.65,,
April,5.15,3.72,2.91,1.81,3.15,1.60,3.05,2.65,5.60,7.80,,
May,1.80,3.15,3.20,6.45,3.85,3.85,3.15,4.60,1.55,4.65,,
June,3.10,3.65,3.55,3.70,3.20,4.15,2.60,3.80,2.20,3.00,,
July,3.42,2.94,6.35,3.60,1.55,6.31,6.15,6.70,6.25,5.15,,
August,7.97,6.20,3.19,4.35,1.30,6.90,6.20,4.95,2.80,6.00,,
September,4.95,2.58,7.33,7.75,4.05,7.65,4.20,6.35,1.55,5.55,,
October,2.08,5.75,3.70,8.75,5.80,4.45,3.60,5.00,7.05,8.40,,
November,14.45,3.08,7.90,15.00,3.70,1.75,1.90,1.75,12.20,12.00,,
December,9.33,4.00,7.45,9.05,12.20,10.50,10.25,7.80,13.80,6.55,,
Total,71.02,46.42,51.28,80.16,50.60,58.46,66.05,57.68,64.20,77.90,,
Calc annual,71.02,46.42,51.28,80.16,50.60,58.46,66.05,57.68,64.20,77.90,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
