CHATTERIS AYLESBY HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL394857,Long,0.0507,Lat,52.4523,Elevation,45,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,1.21,2.21,2.15,2.91,1.48,1.6,0.28,0.71,1.39,1.55,1.66,1.16,2.34,1.8,0.62,0.83,2.31,1.66,0.65,1.72,1.92,2.13,0.82,1.6,1.08,1.93,2.96,0.72,0.99,1.71,1.62,1.21,3.17,1.27,0.98,0.75,1.46,1.72,3.12,2.43,1.51,2.75,1.02,1.69,2,3.67,1.91,2.11,2.81,1.59,2.51,1.11,2.36,2.02,3.14,1.8,2.01,1.6,0.71,1.28,1.08,,2.79,3.18,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,0.88,1.03,2.53,1.85,1.37,2.36,1.62,2.12,1.81,2.69,0.54,1.8,0.2,0.8,1.71,1.65,0.83,0.02,2.03,1.93,1.23,0.12,0.7,2.6,0.62,0.85,3.16,0.83,1.21,0.55,2.45,0.94,1.78,1.07,1,0.32,1.98,1.08,1.18,0.72,0.91,1.92,3.56,0.53,1.01,2.4,0.54,0.57,1.95,3.19,0.91,2.29,2.23,3.05,1.05,0.79,0.4,2.25,0.39,1.51,0.56,,2.24,3.04,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,0.87,0.42,2.38,1.71,0.81,0.66,1.02,1.36,1.21,1.08,0.78,0.92,1.6,1.38,2.88,1.15,2.24,1.12,0.56,0.28,0.54,1.69,2.78,2.28,1.13,0.56,0.86,1.97,1.05,1.93,1.34,1.96,1.58,1.03,1.96,2.97,0.86,1.68,1.99,2.4,2.98,1.28,3.36,1.54,0.69,2.38,1.56,0.83,1.78,2.55,0.6,1.34,0.36,1.86,1.35,0.04,1.35,0.22,1.47,2.12,1.27,,0.97,3.11,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.09,0.96,3.28,3.9,1.5,2.49,1.98,1.95,2.26,1.75,0.97,1.15,1.16,1.22,2.11,1.69,0.89,1.04,1.04,0.15,0.93,1.43,0.77,1.31,1.35,1.49,0.94,2.06,1.18,1.63,0.63,1.55,0.74,2.18,2.81,1.2,1.95,0.98,0.09,1.89,0.48,0.42,0.92,1.28,2.47,2.48,3.21,1.09,2.97,1.13,2.86,2.24,2.09,1.79,0.85,0.84,2,2.52,2.73,0.83,1.98,,1.29,2.27,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.51,1.57,0.86,2.19,5.52,3.31,0.84,0.85,1.6,1.14,0.83,2.3,3.03,1.96,0.66,3.83,2.15,3.36,1.3,0.81,1.61,0.65,0.32,1.25,2.89,1.95,0.87,0.71,3.28,2.07,2.32,1.08,1.47,3.16,1.28,1.64,2.6,0.97,1.72,2.16,0.86,2.06,1.87,1.09,2.07,0.58,1.89,0.77,1.34,0.81,4.5,2.83,2.27,0.7,1.75,1.32,3.09,1.99,3.98,1.49,0.55,,0.82,3.76,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.04,3.09,2.1,1.63,1.71,5.39,2.47,1.81,2.52,3.98,1.08,2.48,1.06,0.7,1.73,1.86,2.54,2.46,2.16,0.63,2.45,1.16,1.76,1.97,1.34,0.95,1.68,1.29,2.34,2.78,0.6,3.44,3.55,1.22,1.14,5.25,1.99,1.93,5.37,1.15,2.26,1.23,2.12,2.8,0.21,1.12,1.32,0.44,0.96,0.72,2.67,0.32,2.57,3.06,2.52,0.72,0.52,1.05,1.29,2.42,0.86,,3.05,1.42,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,0.87,5.18,1.71,2.35,0.5,4.7,6.67,2.19,2.44,2.22,3.95,0.77,4.31,0.56,3.84,4.7,2.14,2.99,3.26,2.97,3.16,2.37,0.89,0.25,1.11,1.19,1.48,1.08,1.65,4.31,1.99,0.93,0.53,2.53,3.33,3.29,2.64,0.36,3.9,0.78,1.22,3.8,1.68,2.9,2.85,2.47,2.61,0.14,3.58,2.39,1.97,1.63,1.75,2.64,2.19,1.5,2.93,2.38,2.58,0.78,1.61,,6.42,1.63,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.19,2.22,2.09,3.52,4.13,3.56,2.46,3.54,2.35,0.71,1.47,1.55,2.72,1.24,1.96,2.27,1.2,4.47,2.66,2.3,2.78,3.46,1.46,2.8,2.28,0.91,2.7,1.92,2.37,2.79,1.48,2.59,1.04,2.02,2.81,2,2.36,2.42,7.66,2.05,1.76,2.35,2.94,4.29,0.9,1.98,1.19,1.15,1.71,2.71,1.57,1.97,1.03,2.02,1.93,0.72,2,3.87,2.49,0.65,2.53,,0.4,0.99,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,2.34,1.99,3.67,2.11,0.92,2.7,4.05,2.52,2.34,4.64,1.65,2.91,1.19,1.93,1.01,2.83,0.3,0.71,2.51,1.08,1.53,0.58,3.69,3.63,0.3,4.69,0.32,0.89,1.1,2.39,1.76,2.88,0.93,0.55,1.8,2.37,0.95,2.27,1.33,1.56,1.04,1.03,1.91,2.16,5.72,1.84,2.02,0.9,2.54,2.48,2.2,3.06,1.73,3.29,0.7,0.31,3.79,3.9,1.51,2,1.27,,1.43,1.78,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,1.98,3.33,0.69,1.23,1.88,0.81,4.7,2.48,4.82,1.54,1.04,4.2,2.83,1.72,0.5,3.18,1.13,4.89,4.26,2.94,1.86,2.06,3.28,1.05,2.49,2.94,1.79,2.1,1.57,5.14,1.27,1.51,3.33,2.91,1.01,3.3,2.51,2.05,1.94,2.65,2.23,1.49,1.57,3.94,1.38,0.76,1.18,2,0.41,3.34,3.22,2.61,2.37,1.8,2.76,2.9,0.68,0.53,2.9,1.5,1.51,,0.89,1.77,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
