ST-IVES-CEMETERY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW515406,Long,-5.48445,Lat,50.2131,Elevation,124,ft,,,,,,,,,,,,,
Station no,1875,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,8.18,4.34,5.68,3.71,4.67,1.03,7.45,7.99,7.69,9.35,
February,,,,,,,,,,,3.22,2.98,0,3.63,0.23,3.99,5.77,6.3,0.62,2.33,
March,,,,,,,,,,,3.78,4.13,2.68,4.61,4.88,1.04,5.61,6.79,0.82,1.68,
April,,,,,,,,,,,3.24,1.72,2.6,2.92,3.44,4.6,2.04,3.16,0,3.26,
May,,,,,,,,,,,1.9,3.18,5.99,2.43,2.2,1.12,1.35,2.67,3,1,
June,,,,,,,,,,,1.2,3.03,3.83,1.94,1.7,3.83,1.49,1.88,2.17,1.9,
July,,,,,,,,,,1.81,3.22,4.56,3.16,1.93,0.65,0.3,6.97,1.18,4.7,5.77,
August,,,,,,,,,,3.24,7.41,3.28,1.65,1.02,3.58,2.14,0.51,0.44,4.8,2.17,
September,,,,,,,,,,0.85,8.01,2.29,4.81,2.46,4.14,4.5,3.83,5.68,3.21,0.47,
October,,,,,,,,,,6.77,5.71,0.97,8.81,8.08,3.26,4.75,1.2,3.28,4.93,,
November,,,,,,,,,,14.64,7.61,10.86,2.71,1.67,2.51,6.46,4.87,4.14,9.23,,
December,,,,,,,,,,12.04,4.63,1.61,4.24,2.79,14.35,5.12,5.62,7.01,7.55,,
Total,,,,,,,,,,,58.11,42.95,46.16,37.19,45.61,38.88,46.71,50.52,48.72,,
,,,,,,,,,,,,,,,,,,,,,
Exact location of gauge unknown but elevation matches S and SW of sloping site,,,,,,,,,,,,,,,,,,,,,
1935 Oct 30 Inspection Site and gauge satisfactory,,,,,,,,,,,,,,,,,,,,,
1936 Oct 24 Inspection Site and gauge satisfactory,,,,,,,,,,,,,,,,,,,,,
1939 Observations suspended for duration of war,,,,,,,,,,,,,,,,,,,,,
