RIMPTON-POUND-HOUSE-(POLLYS-ORCHARD),,,,,,,,
Grid ref,ST608217,Long,-2.55928,Lat,50.99336,Elevation,150,ft
Station no,2068/1,,,,,,,
,,,,,,,,
,1955,1956,1957,1958,1959,1960,,
January,3.02,3.43,2.08,2.34,3.6,2.92,,
February,1.88,0.16,3.74,3,0.25,2.61,,
March,1.17,0.66,1.6,0.61,3.56,2.06,,
April,1.07,1.22,0.3,0.59,1.87,2.05,,
May,3.39,0.78,1.44,1.97,1.51,1.15,,
June,2.18,1.48,3.13,4.63,0.56,1.12,,
July,1.34,2.46,2.63,1.95,2.29,3.26,,
August,1.09,5.08,2.54,2.79,1.2,5.07,,
September,1.22,4.41,2.89,4.01,0.21,3.68,,
October,1.62,1.91,2.22,1.67,2.35,7.71,,
November,2.78,0.81,2.37,2.78,3.39,2.86,,
December,4.66,3.63,2.53,3.09,6.55,2.72,,
Total,25.42,26.03,27.47,29.43,27.34,37.21,,
,,,,,,,,
1955 Jan 1 Gauge moved 0.25 miles SW from Pound House,,,,,,,,
1956 Gauge over sheltered,,,,,,,,
1957 Not printed Low,,,,,,,,
1958 Not printed Low,,,,,,,,
,,,,,,,,
Annual average 28.04 based on 9 years observations within 1948-57 2in low o/s Rejected,,,,,,,,
,,,,,,,,
Post 1960 known as Rimpton No2 SRC_ID 9162,,,,,,,,
1948-1967,,,,,,,,
