RIMPTON-POUND-HOUSE,,,,,,,,,,,,,,
Grid ref,ST609218,Long,-2.55755,Lat,50.99469,Elevation,140,ft,,,,,,
Station no,2068/1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954
January,,,,,,,,4.15,0.57,0.51,2.54,2.04,0.86,1.39
February,,,,,,,,1.1,1.01,4.97,4.52,0.73,1.59,2.68
March,,,,,,,,1.13,1.52,0.8,2.94,2.7,0.54,3.59
April,,,,,,,,1.66,1.41,2.27,2.69,1.85,2.76,0.28
May,,,,,,,,3.57,2.08,1.45,2.65,3.09,1.63,1.92
June,,,,,,,,2.23,0.34,1.24,0.86,3.24,3.04,3
July,,,,,,,,1.51,1.79,4.11,1.17,1.31,4.06,2.75
August,,,,,,,,2.97,1.59,4.47,5.04,6.47,2.23,2.5
September,,,,,,,,1.89,2.88,4.25,3.03,3.4,2.67,2.37
October,,,,,,,,3.58,8.26,1.13,0.92,3.65,2.79,2.19
November,,,,,,,,1.55,3.78,5.61,8.67,3.74,1.39,5.95
December,,,,,,,,4.87,1.26,2.17,2.48,2.61,0.69,2.97
Total,,,,,,,,30.21,26.49,32.98,37.51,34.83,24.25,31.59
,,,,,,,,,,,,,,
Gauge formerly at Rimpton Stn No 2068,,,,,,,,,,,,,,
1955 Jan 1 Gauge moved 0.25 miles SW to Pollys Orchard,,,,,,,,,,,,,,
