BRADFORD (LEEMING RESERVOIR),,,,,,,,,,,,
Grid ref,SE040240,Long,-1.940874,Lat,53.712405,,,,,,,
Station no,3271,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.12,5.64,1.60,3.64,2.51,5.88,3.85,4.32,3.84,5.86,,
February,4.50,1.72,3.17,3.46,2.88,1.90,3.24,7.38,0.51,4.07,,
March,5.17,2.53,2.25,2.71,2.61,2.36,2.99,2.53,1.89,2.23,,
April,2.39,2.99,3.71,0.63,1.58,3.79,0.35,1.42,4.52,2.79,,
May,4.28,2.60,2.48,3.71,3.72,1.72,1.36,5.37,1.69,1.99,,
June,1.25,3.10,3.69,2.16,2.89,4.84,2.20,4.61,3.78,1.22,,
July,3.03,1.88,5.50,3.91,0.77,4.91,3.93,3.70,3.03,5.78,,
August,4.92,6.44,5.21,8.29,1.38,8.51,5.19,4.45,1.42,4.65,,
September,2.91,4.72,3.88,5.30,2.11,4.91,4.72,4.09,0.33,2.85,,
October,1.61,5.21,2.30,7.79,3.19,2.21,5.16,3.67,5.47,6.43,,
November,9.85,2.21,5.68,6.75,2.78,1.79,2.49,1.35,5.08,7.91,,
December,9.81,4.84,2.43,7.05,6.51,4.70,4.87,5.69,9.14,6.01,,
Total,54.84,43.88,41.90,55.40,32.93,47.52,40.35,48.58,40.70,51.79,,
Calc annual,54.84,43.88,41.90,55.40,32.93,47.52,40.35,48.58,40.70,51.79,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
