BRADFORD LEEMING RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE040340,Long,-1.940874,Lat,53.712405,Elevation,850,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,
January,,,,,,,1.41,5.46,3.81,1.53,0.31,0.38,2.83,5.25,6.35,3.3,5.25,2.7,1.83,2.1,7.46,3.68,4.24,1.23,6.12,4.48,1.89,2.36,4,7.93,6.3,3.45,4.55,4,4.5,1.72,6.68,1.67,3.19,2.66,6.07,1.71,5.57,4.55,3.89,5.32,2.56,1.89,2.45,4,3.09,5.72,2.18,3.93,3.28,6.05,5.47,4.64,11.53,1.65,7.46,4.71,5.1,3.22,4.3,2.58,5.2,5.62,6.83,7.19,2.29,2.78,4.11,5.76,7.46,3.89,5.09,4.21,10.59,2.65,3.07,5.12,5.64,1.6,3.64,2.51,5.88,3.85,4.32,3.84,5.86,,,,,,
February,,,,,,,5.7,3.25,1.75,3.09,3.73,4.98,3.83,3.25,3.89,3.4,1.4,0.84,0.93,2.98,0.9,0.5,3.4,5.75,8.17,0.66,1.88,4.1,4.5,2.53,4.4,1.8,1.8,5,5,2.16,3.21,2.59,3.04,2.33,5.55,5.05,2.46,1.82,4.01,4,4.7,0.54,4.13,1.65,2.83,0.17,3.16,7.24,1.75,8.28,4.22,2.05,6.22,0.79,1.33,5.85,0.33,5.13,0.48,8.18,3.21,7.61,2.08,5.91,2.16,7.31,1.66,3.38,2.42,5.59,7.19,3.85,3.94,3.98,7.28,4.5,1.72,3.17,3.46,2.88,1.9,3.24,7.38,0.51,4.07,,,,,,
March,,,,,,,4.61,2.76,1.65,2.2,2.4,2.47,3.93,1.2,2.97,1.72,3.96,2.83,4.9,3.11,4.15,2.84,0.99,1.3,4.13,3.81,5.8,6.11,1.58,2.6,0.93,4.55,2.2,6.55,2.6,3.72,2.83,3.54,4.17,3.73,0.84,1.97,5.18,5.8,5.28,0.71,3.78,2.64,1.55,4.77,3.69,2.24,1.67,2.86,1.59,1.79,2.48,5.25,3.36,0.79,3.35,0.48,3.19,2.9,3.66,2.39,2.71,2.79,1.41,3.6,3.6,4.69,2.84,1.43,0.49,1.47,1.76,7.56,2.09,1.39,2.69,5.17,2.53,2.25,2.71,2.61,2.36,2.99,2.53,1.89,2.23,,,,,,
April,,,,,,,3.43,4.29,1.96,3.25,0.21,1.2,4.75,2.85,1.4,2.4,3.4,1.2,3.45,4.35,1.66,2.98,1.92,0.93,2.51,3.09,2.49,3.24,3.74,3.35,2.3,3.4,2.25,2.37,2.9,2.97,1.98,2.76,3.05,3.96,3.71,1.99,0.96,4.18,2,1.22,2.1,1.77,0.83,1.65,5.57,1.13,3.4,3.48,2.5,3.55,2.08,4.01,1.28,1.39,3.35,4.29,4.57,1.94,2.75,4.44,1.9,2.92,0.62,2.04,3.95,3.03,2.34,2.52,3.63,2.86,2.06,4.45,3.21,4.77,4.48,2.39,2.99,3.71,0.63,1.58,3.79,0.35,1.42,4.52,2.79,,,,,,
May,,,,,,,1.04,2.41,4.02,0.94,1.9,2.21,1.97,0.85,2.09,2.2,4.6,2.05,1.59,2.64,3.95,3.47,4.5,2.39,2.55,0.62,0.71,2.26,2.23,2.7,2.1,1.15,3.29,3.25,3.3,0.66,3.66,3.71,2.53,2.95,2.86,0.98,3.57,3.71,1.61,1.66,2.11,1.9,2.64,1.76,4.59,1.48,1.1,5.07,5.88,5.16,4.02,1.46,1.8,2.46,1.87,3.6,4.64,2.37,2.79,1.06,1.57,2.91,4.71,1.36,1.87,2.69,4.81,3.08,2.98,3.81,2.01,4.08,1.2,3.09,2.73,4.28,2.6,2.48,3.71,3.72,1.72,1.36,5.37,1.69,1.99,,,,,,
June,,,,,,,3.34,2.7,3.52,6.86,2.86,1.79,3.85,3.2,0.77,3.35,1.51,0.21,3.5,0.85,4.12,1.91,4.08,2.63,3.75,2.14,4.37,3.67,3,2.23,4.25,1,2,1.55,1.62,2.84,1.12,5.69,2.03,2.43,2.73,4.13,6.82,1.98,2.34,0.54,2.36,2.06,1.44,0.86,2.22,0.05,1.82,1.01,2.73,0.05,2.63,3.89,6.22,1.42,1.8,5.89,0.74,2.3,2.53,4.11,4.4,2.19,5.1,3.13,0.65,0.36,1.4,4.2,3.16,4.03,2.97,3.11,5.56,0.64,1.58,1.25,3.1,3.69,2.16,2.89,4.84,2.2,4.61,3.78,1.22,,,,,,
July,,,,,,,3.35,4.4,0.94,5.08,4.38,3.82,4.46,3.4,4.5,1.69,3.5,2.3,6.22,2.92,1.13,2.5,3.21,4.45,3.77,7.05,1.6,1.55,1.1,1.85,1.3,1.85,3.05,4.5,1.9,1.78,2.37,2.8,4.51,4.8,4.11,0.55,6,1.28,2.68,4.1,2.62,1.57,4.59,2.24,6.52,2.04,3.79,4.16,4.66,1.41,2.74,3.16,1.21,2.35,6.86,4.78,3.98,2.91,3.29,1.73,4.13,2.9,4.17,6.45,4.39,1.45,3.67,2.36,3.95,2.57,3.93,2.52,1.55,3.1,4.21,3.03,1.88,5.5,3.91,0.77,4.91,3.93,3.7,3.03,5.78,,,,,,
August,,,,,,,2.25,5.82,6.41,4.72,1.68,2.34,1.85,1.85,1.3,1.85,1.43,1.91,3.21,5.06,6.42,7.81,4.02,3.39,4.55,-999,2.25,4.4,4.83,1.58,5.4,2.6,4,4.9,5,6.26,4.92,3.33,3.11,3.09,5.41,2.14,6.96,1.35,2.61,4.83,1.98,5.58,2.22,2.62,1.86,3.22,5.24,4.84,4.33,4.37,3.63,6.91,5.33,3.29,5.79,4.75,1.61,1.07,3.3,1.64,2.79,2.04,5.49,3.94,1.68,6.98,4.7,5.59,3.53,5,6.87,0.47,4.27,3.31,5.99,4.92,6.44,5.21,8.29,1.38,8.51,5.19,4.45,1.42,4.65,,,,,,
September,,,,,,,4.92,4.15,4.75,2,3.9,2.45,2.1,6.5,1.2,5.06,3.56,4.86,1.36,2.45,2.75,3.51,3.42,3.9,0.47,-999,4.2,4.55,1,7.5,1.3,1.4,2.35,5.6,1.1,2.18,0.92,0.98,3.18,3.58,0.26,3.48,1.95,1.99,2.19,0.52,1.4,1.54,8.16,1.32,1.7,0.76,3.22,4.99,4.46,3.21,2.47,4.94,0.68,1.42,5.1,4.5,5.25,2.29,2.8,7.22,4.91,1.77,2.36,1.87,4.51,0.51,2.64,4.63,7.2,2.74,7.61,2.88,2.79,1.28,6.05,2.91,4.72,3.88,5.3,2.11,4.91,4.72,4.09,0.33,2.85,,,,,,
October,,,,,,,2.59,5.69,5.43,1.79,4.12,2.1,4.27,4.25,2.58,7.7,6.12,3.6,2.15,5.39,2.92,5.2,8.66,4.52,6.34,4.56,1.46,1.81,6.78,3.45,5.8,2.8,5.7,12.35,1.5,3.44,7.1,6.17,2.66,4.44,3.87,4.29,4.78,2.66,2.1,1.61,6.74,6.16,2.39,2.11,2.14,2.34,1,5.32,4.65,5.55,4,5.21,6.19,5.09,5.99,2.86,7.53,5.31,5.09,10.36,5.22,2.76,10.76,3.38,4.93,5.23,6.64,2.67,4.92,6.61,0.99,1.48,2.11,4.86,3,1.61,5.21,2.3,7.79,3.19,2.21,5.16,3.67,5.47,6.43,,,,,,
November,,,,,,,4.56,5.13,3.27,1.09,3.05,2.15,5.9,5.5,1.3,2.8,4.17,3.97,11.85,1.42,7.05,5.21,2.79,3.68,2.98,5.55,1.43,4.4,3,2.7,5.2,7.05,3.2,2.4,3.3,5,5.12,2.97,3.21,1.62,5.46,4.63,2.86,4.85,5.81,2.37,3.87,3.85,1.85,2.94,2.17,2.06,2.28,7.37,3.21,2.75,7.65,5.04,7.69,7.82,6.39,9.04,3.54,2.7,2.81,7.32,6.44,2.45,7.43,7.4,8.02,3.68,1.82,3.84,7.8,0.82,7.56,7.19,2.2,7.28,5.66,9.85,2.21,5.68,6.75,2.78,1.79,2.49,1.35,5.08,7.91,,,,,,
December,,,,,,,8.41,4.36,2.04,2.53,4.86,3.5,5.23,3.35,5.95,0.9,6.62,3.8,3.54,3.65,0.78,10.02,2.4,5.56,4.04,5.25,5.95,6.9,6,3.6,5.6,6.4,4.7,2.9,3.43,1.04,3.5,5,3.26,5.82,5.56,7.15,4.54,2.97,6.79,6.84,3.04,1.62,6.15,5.64,3.7,4.36,5.09,3.86,5.74,5.82,1.85,1.99,2.84,10.36,4.04,2.76,1.99,0.58,6.37,4.25,5.25,2.62,4.92,2.98,4.37,2.93,4.02,2.96,5.42,3.02,3.81,5.09,4.69,9.16,2.95,9.81,4.84,2.43,7.05,6.51,4.7,4.87,5.69,9.14,6.01,,,,,,
Total,,,,,,,45.61,50.42,39.55,35.08,33.4,39.39,44.97,41.45,34.3,36.37,45.52,30.27,44.53,36.92,43.29,49.63,43.63,39.73,49.38,44.21,34.03,45.35,41.76,42.02,44.88,37.45,39.09,55.37,36.15,33.77,43.41,41.21,37.94,41.41,46.43,38.07,51.65,37.14,41.31,33.72,37.26,31.12,38.4,31.56,40.08,25.57,33.95,54.13,44.78,47.99,43.24,48.55,54.35,38.83,53.33,53.51,42.47,32.72,40.17,55.28,47.73,38.58,55.88,49.25,42.42,41.64,40.65,42.42,52.96,42.41,51.85,46.89,44.2,45.51,49.69,54.84,43.88,41.9,55.4,32.93,47.52,40.35,48.58,40.7,51.79,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
