"DALBEATTIE LITTLE RICHORN",,,,,,,,,,,,
Grid ref,NX836595,Long,-3.817458,Lat,54.916588,,,,,,,
Station no,RR3085,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.99,2.97,2.40,5.58,3.67,1.37,3.84,1.42,4.55,3.56,,
February,5.90,1.68,3.50,3.83,2.84,2.21,2.77,2.89,2.71,1.74,,
March,0.42,2.25,2.12,7.63,3.59,4.16,2.58,3.56,4.28,4.33,,
April,2.49,3.47,1.79,1.08,2.99,3.70,0.72,3.23,2.40,4.06,,
May,3.71,1.78,2.22,3.24,3.12,3.12,7.47,3.96,3.55,2.81,,
June,4.70,3.28,1.88,2.84,2.09,2.35,1.88,6.66,3.10,3.05,,
July,2.98,4.12,2.83,5.00,3.39,1.39,2.31,2.47,3.41,4.10,,
August,7.36,5.55,2.90,5.88,5.62,4.43,6.57,5.34,4.51,2.16,,
September,3.15,4.05,2.85,4.12,3.81,1.78,1.27,1.53,4.93,2.16,,
October,5.85,4.99,4.15,10.79,3.34,3.15,6.87,8.46,2.36,11.64,,
November,5.45,3.64,3.94,3.21,3.22,4.74,3.75,3.75,2.46,1.43,,
December,8.20,5.58,4.96,3.95,3.64,3.37,3.36,5.82,5.27,7.45,,
Total,55.20,43.36,35.54,57.15,41.32,35.77,43.39,49.09,43.53,48.49,,
Calc annual,55.20,43.36,35.54,57.15,41.32,35.77,43.39,49.09,43.53,48.49,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
