"CLUNIE MANSE, PERTH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,,
January,,,,,-999.00,1.58,4.78,,,,,
February,,,,,-999.00,3.27,3.12,,,,,
March,,,,,-999.00,2.42,4.60,,,,,
April,,,,,-999.00,0.83,1.55,,,,,
May,,,,,-999.00,4.40,0.61,,,,,
June,,,,,-999.00,1.07,2.44,,,,,
July,,,,,-999.00,1.26,3.65,,,,,
August,,,,,-999.00,2.76,1.58,,,,,
September,,,,,-999.00,5.14,-999.00,,,,,
October,,,,,-999.00,2.76,3.76,,,,,
November,,,,,-999.00,3.65,3.90,,,,,
December,,,,,-999.00,2.07,3.66,,,,,
Total,,,,,-999.00,31.21,38.50,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,31.21,33.65,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,-999.00,0.00,4.85,NaN,NaN,NaN,,
