BLOXWORTH HOUSE BERE REGIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY879949,Long,-2.172893,Lat,50.75357,Elevation,118,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,0.49,7.65,1.2,4.93,0.74,2.3,1.7,3.65,3.82,2.8,3.27,3.58,1.67,0.85,3.52,3.2,1.94,2.61,3.86,3.51,1.17,2.51,0.76,5,4.46,2.16,1.32,3.01,6.34,1.14,8.81,1.2,1.13,1.16,4.07,1.96,6.06,6.57,0.75,3.8,1.71,1.35,4.33,6.97,5.12,4.05,5.08,1.95,4.89,5.49,5.25,2.34,6.28,1.92,4.63,2.51,2.76,2.73,3.1,0.81,5.68,6.71,3.87,6.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,3.81,1.39,2.34,4.46,4.21,3.73,2.07,4.76,2.54,3.94,0.5,0.87,0.87,1.62,0.77,0.05,1.64,4.6,3.29,0,0.46,3.48,3.62,3.66,6.01,1.58,2.16,2.17,5.14,0.77,3.96,1.51,1.36,0.77,4.74,2.14,3.48,1.85,5.75,7.38,5.95,1.26,1.66,4.12,0.63,0.45,3.24,7.78,0.61,4.87,2.17,3.71,3.1,1.49,0.91,2.22,0.07,4.67,0.07,3.62,3.48,6.35,0.8,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,3.56,2.07,1.64,-999,1.19,3.08,0.41,1.16,2.09,1.27,3.13,1.37,3.89,2.44,1.38,3.55,0.65,0.29,1.77,2.49,2.79,4.18,0.9,0.69,1.21,2.54,2.45,4.29,1.78,5.63,1.18,0.65,3.14,5.2,0.9,2.87,6.07,3.23,6.02,1.05,4.18,3.27,1.57,5.62,2.87,1.76,3.05,1.85,1.84,0.78,0.67,3.39,2.95,0.17,1.38,1.18,1.82,5.05,3.16,1.2,4.03,4.25,0.26,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.86,3.86,3.2,-999,1.59,0.42,4.36,1.3,1.63,2.19,1.7,0.73,1.39,2.65,3.23,0.83,1.08,0.02,2.16,2.71,0.35,3.23,1.41,2.89,1.3,3.53,2.09,3.6,1.26,2.16,1.39,4.03,2.41,1.65,2.02,1.73,0.06,4.04,1.23,1.25,0.75,1.76,2.13,2.06,3.67,0.99,4,4.02,3.3,2.71,4.7,2.53,1.82,1,2.12,2.44,2.92,1.6,1.84,4.53,1.94,2.23,0.01,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,-999,1.77,4.12,2.33,0.72,0.36,1.92,1.59,1.33,3.74,3.01,1.65,2.04,1.14,1.82,2.34,0.84,0.7,1.59,0.31,0.08,1.39,3.07,1.12,1.64,0.51,2.07,3.66,3.07,0.32,2.6,2.05,3.09,1.52,2.07,0.59,1.85,2.52,1.76,2.9,2.42,3.59,2,0.81,1.61,1.87,0.72,2.06,5.68,4.28,2.23,1.21,1.55,2.3,2.61,3.64,3.75,1.17,0.82,0.97,0.32,3.45,1.61,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,-999,0.64,1.48,4.88,2.73,2.37,3.88,2.21,3.53,2.16,0.81,1,3.25,1.53,2.12,1.86,1.13,0.79,1.99,1.49,1.87,2.83,0.79,1.39,2.51,1.55,3.16,2.67,1.26,2.12,1.41,2.18,0.29,4.68,4.31,2.15,4.4,0.67,1.14,0.89,1.93,2.03,0.97,0.91,2.66,0.9,0.9,0.54,2.29,0.16,4.13,2.39,2.07,1.5,0.7,2.81,2.66,2.02,1.44,3.68,2.89,0.44,0.66,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,-999,3.01,1.75,5.04,3.15,0.79,3.44,2.87,2.04,0.2,2.23,0.91,4.14,2.23,2.72,2.6,2.24,3.98,4.35,3.32,0.39,0.29,0.32,1.45,1.5,2.48,2.03,3.18,3.47,0.43,1.04,1.28,1.96,2.67,2.94,0.27,3.65,1,5.12,5.17,1.26,2.96,4.33,2.34,4.54,0.56,5.4,0.82,3.54,3.02,1.58,2.39,1.45,1.25,1.84,4.17,2.21,2.22,0.43,0.45,4.25,1.9,2.64,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,-999,3.21,3.26,7.03,0.78,6.97,2.27,0.74,1.1,1.99,0.96,2.36,1.97,2.57,2.88,6.37,3.31,0.58,2.13,2.54,1.07,3.33,1.2,0.64,2.97,1.99,3.96,5.12,4.4,3.36,0.86,1.66,4.52,3.12,2.98,0.67,7.24,3.02,3.38,1.2,4.11,6.07,2.14,3.01,1.48,3.11,3.22,2.63,2.6,4,0.88,3.9,3.55,1.56,3.78,3.73,0.85,1.1,3.38,3.41,0.19,1.61,2.21,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,5.35,2.46,2.15,4.49,3.42,2.13,2.45,4.48,2.71,4.12,3.17,2.3,1.5,0.91,2.18,1.16,3.58,1.68,3.14,0.23,8.95,3.18,1.39,1.6,1.5,4.63,1.47,2.57,2.48,2.28,0.89,0.71,2.59,3.21,0.32,1.44,2.67,3.79,2.04,2.09,3.69,2.25,7.69,1.68,1.48,0.97,1.83,2.62,4.17,4.05,0.52,6.14,2.31,0.61,3.27,1.76,3.91,2.53,2.59,3.57,2.97,3.45,2.51,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.64,2.8,3.29,1.18,5.52,1.62,9.26,3.03,1.16,4.27,4.78,2.22,2.42,5.23,0.85,9.39,5.98,5.21,4.02,3.74,4.39,1.29,4.07,2.62,3.36,2.51,2.59,9.08,2.39,2.6,6.32,10.72,3.54,7.8,6.7,4.76,4.38,4.28,3.48,6.23,5.89,5.39,2.08,1.5,3.27,1.5,1.86,6.26,5.1,5.6,4.21,3.35,8.1,3.33,2.89,0.81,6.52,1.56,1.54,6.41,1.85,5.7,4.2,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
