"SHAP (BIRKBECK FELL)",,,,,,,,,,,,
Grid ref,NY565118,Long,-2.673185,Lat,54.499646,,,,,,,
Station no,3666,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.64,6.08,1.75,6.42,6.59,4.15,12.86,7.68,5.52,9.90,,
February,6.02,0.79,1.45,5.70,1.95,0.48,5.95,6.96,1.70,10.29,,
March,4.78,3.98,0.54,4.96,1.32,1.86,5.02,1.53,4.72,1.34,,
April,5.80,4.50,4.27,0.75,1.76,0.90,1.02,1.76,6.29,4.66,,
May,1.72,2.70,3.48,4.20,4.91,2.16,3.56,6.61,1.53,2.65,,
June,1.13,3.50,4.64,4.49,5.94,3.26,1.22,4.61,6.48,3.70,,
July,3.31,1.60,5.44,3.26,2.72,3.66,3.95,4.33,4.56,5.55,,
August,6.52,6.00,5.14,6.68,2.50,9.22,6.16,4.14,0.98,3.90,,
September,8.04,4.68,10.56,11.02,3.47,4.41,5.72,7.30,1.26,3.78,,
October,1.11,7.50,3.73,16.30,3.07,5.74,7.43,6.74,5.88,4.59,,
November,13.91,2.59,9.88,15.30,3.25,1.82,2.02,1.34,9.24,14.43,,
December,12.48,5.18,4.26,7.85,8.57,8.37,5.62,5.53,13.28,7.91,,
Total,72.46,49.10,55.14,86.93,46.05,46.03,60.53,58.53,61.44,72.70,,
Calc annual,72.46,49.10,55.14,86.93,46.05,46.03,60.53,58.53,61.44,72.70,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
