"DENSHAW NEW YEARS BRIDGE",,,,,,,,,,,,
Grid ref,SD985107,Long,-2.024135,Lat,53.592874,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.15,3.25,3.42,4.47,4.14,2.05,5.43,1.64,3.82,2.50,,
February,3.93,2.06,1.30,4.22,3.85,1.86,3.59,2.59,3.33,1.98,,
March,1.20,3.86,2.40,5.66,2.37,4.16,3.57,3.82,3.13,3.30,,
April,2.64,2.98,2.26,2.48,2.93,3.21,1.94,3.19,2.52,4.03,,
May,1.41,2.16,3.27,4.39,4.17,0.64,4.23,4.30,2.77,2.70,,
June,5.98,2.34,1.50,2.26,1.11,3.26,1.94,8.01,2.61,3.06,,
July,3.47,3.57,3.17,4.54,1.70,3.36,2.89,3.66,6.22,6.27,,
August,5.97,2.66,4.24,5.72,5.66,6.03,4.43,4.87,4.00,4.42,,
September,1.59,1.29,2.71,6.27,1.78,3.82,1.79,1.08,3.99,3.34,,
October,5.77,4.47,5.93,9.98,2.33,4.25,9.26,8.34,1.83,7.76,,
November,3.68,8.13,1.95,3.93,5.14,5.90,5.48,3.13,2.22,1.55,,
December,5.62,5.23,3.54,2.43,3.75,1.08,4.12,4.75,3.04,8.35,,
Total,46.41,42.00,35.69,56.35,38.93,39.62,48.67,49.38,39.48,49.26,,
Calc annual,46.41,42.00,35.69,56.35,38.93,39.62,48.67,49.38,39.48,49.26,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
