DENSHAW NEW YEARS BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD985108,Long,-2.024136,Lat,53.593773,Elevation,1012,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,5.15,3.25,3.42,4.47,4.14,2.05,5.43,1.64,3.82,2.5,5.01,1.66,4.01,3.75,4.49,6.44,4.08,3.24,2.9,5.08,4.48,6.34,3.39,3.72,2.94,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,3.93,2.06,1.3,4.22,3.85,1.86,3.59,2.59,3.33,1.98,4.14,5.42,2.59,1.29,3.19,4.18,5.33,1.02,6.23,1.21,3.9,0.49,4.5,5.38,1.18,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.2,3.86,2.4,5.66,2.37,4.16,3.57,3.82,3.13,3.3,0.78,2.32,5.25,5.19,5.4,1.75,3.4,2.71,2.09,5.34,3.25,3.39,2.98,2.12,1.61,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.64,2.98,2.26,2.48,2.93,3.21,1.94,3.19,2.52,4.03,3.79,3.15,1.21,5.05,1.86,1.8,2.99,2.21,1.8,2.17,5.52,1.74,3.18,3.26,2.02,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.41,2.16,3.27,4.39,4.17,0.64,4.23,4.3,2.77,2.7,2.85,1.61,4.95,3.08,2.78,2.24,3.02,2.16,2.71,1.96,6.79,2.63,1.63,4.54,5.85,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,5.98,2.34,1.5,2.26,1.11,3.26,1.94,8.01,2.61,3.06,5.6,3.62,5.81,2.95,4.24,1.07,3.82,2.72,1.41,2.1,2.96,0.44,3,1.01,3.78,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,3.47,3.57,3.17,4.54,1.7,3.36,2.89,3.66,6.22,6.27,4.87,0.48,6.01,1.46,5.07,6.44,3.43,1.85,4.69,2.75,10.01,1.76,5.46,5.28,3.86,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,5.97,2.66,4.24,5.72,5.66,6.03,4.43,4.87,4,4.42,6.56,3.59,9.38,3.19,3.54,6.79,3.84,7.82,3.78,3.86,2.73,6.04,6.71,5.22,5.43,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,1.59,1.29,2.71,6.27,1.78,3.82,1.79,1.08,3.99,3.34,0.29,4.53,2.22,2.26,3.79,1.01,3.17,2.25,12.76,1.92,2.55,1.42,3.4,3.89,5.24,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,5.77,4.47,5.93,9.98,2.33,4.25,9.26,8.34,1.83,7.76,4.44,4.12,5.44,3.6,3.11,2.13,8.12,7.19,3.43,3.96,1.86,2.78,1.19,4.83,6.32,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
