DENSHAW NEW YEARS BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD986107,Long,-2.022624,Lat,53.592875,Elevation,986,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,4.11,3.25,3.69,4.43,4.77,10.97,2.16,6.4,5.84,5.58,3,3.69,2.1,4.46,4.49,6.18,7.04,3.07,1.8,4.87,5.66,6.43,3.74,5.69,3.95,9.32,1.95,2.67,4.72,4.33,1.91,4.25,3.1,5.05,4.84,4.6,4.6,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,5.81,1.33,6.15,3.86,1.77,5.37,1.02,1.09,6.51,0.64,4.64,0.47,5.73,3.15,6.62,2.2,5.06,3.01,5.83,1.8,3.2,2.8,5.89,7.02,1.64,3.25,2.48,5.45,2.94,1.37,2.06,3.45,2.9,2.34,3.58,6.66,0.51,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,2.35,1.74,2.13,1.8,6.06,2.98,1.29,3.64,0.48,3.04,4.38,3.99,2.14,3.42,3.29,1.63,3.56,3.57,5.73,3.21,1.69,0.75,1.57,2.07,6.29,1.64,1.87,2.32,5.23,3.02,2.46,3.35,2.83,1.7,4.32,2.87,2.3,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,3.63,2.35,2.94,2.36,5,1.31,1.7,4.03,4.72,4.11,2.08,3.06,4.58,2.25,3.12,0.7,3.02,2.72,3.64,2.51,2.62,3.11,2.94,2.13,4.62,2.28,4.71,3.98,2.92,3.86,3.68,0.86,2.56,3.05,0.62,1.68,4.54,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,5.06,6.19,3.95,6.16,1.71,2.14,3.53,2.71,3.55,6.08,2.12,3.02,1.17,2.03,2.57,4.78,2.38,1.02,3.1,5.05,2.75,4.98,4.22,2.1,2.84,1.78,4.57,2.19,2.87,2.92,2.99,3.69,4.39,2.27,1.55,4.81,2.53,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.25,4.07,0.11,3.73,4.7,7.35,1.58,2.21,7.71,0.75,3.83,2.83,4.42,5.86,2.62,5.01,3.93,1.05,1.82,1.4,3.89,4.16,6.14,3.42,2.94,4.68,0.96,2.78,0.88,3.53,3.13,3.85,3.52,3.86,2.44,5.67,2.77,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,5.78,4.32,2.71,3.49,3.95,2.13,2.7,8.79,5.85,5.3,3.93,4.19,2.27,4.85,2.6,4.68,7.39,4.83,2.65,4.81,3.14,3.99,1.92,5.62,2.83,2.13,2.55,4.27,4.55,3.17,7.91,6.12,1.33,6.72,4.75,4.7,4.35,9.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,5.66,6.03,4.32,5.21,8.04,6.07,6.23,6.95,7.1,1.93,2.19,4.06,2.92,2.63,1.78,4.21,2.76,2.45,8.01,5.65,6.31,4.66,3.03,5.93,0.43,5.58,2.93,7.11,6.47,4.5,6.13,7.27,0.77,12.97,5.8,5.32,0.79,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,4.41,5.75,3.86,3.94,6.84,0.7,2.23,4.87,5.53,5.41,2.76,3.93,8,5.77,2.11,2.14,1.68,4.72,0.8,2.96,5.01,5.28,3.3,7.17,3.45,2.85,1.71,7.15,3.37,3.88,3.26,6.22,3.08,4.63,6.6,6.26,0.44,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,1.33,5.32,6.96,6.61,4.13,4.95,5.34,5.75,6.48,2.84,7.8,4.86,5.66,9.83,5.73,2.77,10.02,3.43,5.11,5.46,6.73,3.02,4.58,6.76,1.14,1.13,3.54,4.68,2.84,1.43,5.98,2.56,8.6,2.34,3.42,6.65,4.61,4.76,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
