DENSHAW NEW YEARS BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD985108,Long,-2.024136,Lat,53.593773,Elevation,1012,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,4.02,1.41,6.27,3.76,3.5,5.11,2,5.43,3.88,1.37,0.5,0.37,3.63,5.33,7.49,2.83,5.2,1.99,1.62,2.17,4.8,3.22,2.89,1.28,3.95,2.98,2.31,2.03,3.2,6.15,5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1.9,3.44,3.91,0.62,2.21,1.18,4.4,2.94,2.21,3.43,3.41,5.32,3.56,2.65,2.95,3.54,0.7,1.12,0.4,2,0.88,0.37,1.73,4.94,5.84,0.58,2.29,3.18,3.27,1.63,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,3.17,1.3,4.13,2.56,3.74,0.77,3.84,4.27,1.85,2.01,3.96,4.26,3.78,0.8,2.7,2.87,3.55,1.66,3,2.22,3.72,1.72,0.67,1.01,3.9,4.39,6.26,5.09,1.72,2.59,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.94,4.83,5.13,0.53,1.94,1.7,2.95,2.78,1.93,2.35,2.4,1.55,5.73,2.34,2.27,2.61,3.02,1.36,3.47,3.99,1.58,1.99,1.3,0.86,2.41,3,2.04,3.69,3.06,4.02,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.96,1.93,3.11,2.64,1.78,2.8,1.26,4.39,5.1,2.56,2.71,4.49,1.89,1.82,2.35,2.57,6.87,2.24,0.81,2.89,3.45,3.68,5.25,3.14,2.85,1.32,0.96,1.77,3.55,3.95,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.22,5.27,6.57,2.26,1.42,4.36,3.61,3.23,3.87,7.26,2.89,2.23,7.43,5.93,1.25,4.15,2.12,0.65,3.26,0.7,4.01,1.96,4,2.8,4.02,4.74,3.81,4.13,4.1,1.95,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.02,4.86,7.05,4.86,2.12,5.87,3.69,5.74,0.87,5.99,7.1,3.67,6.26,3.75,4.17,1.79,6.23,2.09,7.97,4.47,3.25,3.5,3.64,4.19,3.87,9.12,3.86,1.78,0.83,2.05,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.6,1.97,4.45,4.87,5.26,4.08,4.82,5.2,7.42,7.25,2.04,5.94,4,3.63,2.87,1.71,2.74,1.6,4.33,7.73,6.07,9.32,4.89,2.68,4.73,5.07,3.26,4.91,6.28,2.21,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,3.27,6.12,6.98,2.75,4.52,6.56,5.12,5.32,6.9,4.06,5.29,3.19,3.35,7.54,2.87,5.59,4.25,5.66,1.95,3.16,1.84,3.7,4.98,4.61,0.57,1.79,8.52,5.29,0.99,7.15,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,10.94,4.41,5.72,5.28,5.3,6.39,3.7,5.63,4.34,2.58,5.93,4.32,4.15,6.34,2.89,8.79,6.99,3.95,2.11,5.88,3.41,6.8,7.85,3.91,5.83,4.92,6.33,2.81,5.92,4.41,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,3.49,1.57,6.01,3.57,4.3,5.44,4.47,6.56,2.97,1.78,4.03,4.48,5.56,5.35,2.39,3.68,3.26,3.03,8.73,2.37,5.49,4.09,3.32,3.27,2.9,3.7,2.1,5.81,3.08,1.39,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,2.58,2.69,3.14,0.96,3.45,1.91,8.47,3.49,2.1,3.13,6.07,3.92,4.24,4.04,5.46,1.95,5.42,2.68,3.21,2.66,0.41,7.68,2.14,4.28,4.16,4.88,6.85,5.7,4.99,3.07,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,39.11,39.8,62.47,34.66,39.54,46.17,48.33,54.98,43.44,43.77,46.33,43.74,53.58,49.52,39.66,42.08,50.35,28.03,40.86,40.24,38.91,48.03,42.66,36.97,45.03,46.49,48.59,46.19,40.99,40.57,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
