"DENSHAW NEW YEAR'S BRIDGE",,,,,,,,,,,,
Grid ref,SD985108,Long,-2.024136,Lat,53.593773,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.69,,,,,,,,,,,
February,4.50,,,,,,,,,,,
March,1.25,,,,,,,,,,,
April,2.73,,,,,,,,,,,
May,1.57,,,,,,,,,,,
June,6.22,,,,,,,,,,,
July,3.55,,,,,,,,,,,
August,6.09,,,,,,,,,,,
September,1.53,,,,,,,,,,,
October,5.70,,,,,,,,,,,
November,4.23,,,,,,,,,,,
December,5.84,,,,,,,,,,,
Total,48.90,,,,,,,,,,,
Calc annual,48.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
