DUBLIN MIX,,,,,,,,,,,,,,,,,,,,
Grid ref,IO1647533082,Long,-6.252024,Lat,53.33538,Elevation,35,ft,,,,,,,,,,,,
Station no ,RR420 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809
January ,,,2.68,1.89,0.59,2.4,2.78,1.58,2.52,1.47,3.98,1.26,1.02,1.9,3.15,3.39,2.13,1.73,0.81,
February ,,,2.82,2.13,2.33,2.29,1.1,0.32,1.58,3.55,1.26,1.22,1.42,1.26,0.71,0.87,1.5,1.38,1.41,
March ,,,2.36,2.09,1.26,2.21,0.83,1.93,1.34,1.42,1.1,1.17,1.1,1.42,4.35,0.75,1.54,0.32,0.83,
April ,,,2.56,2.36,2.52,2.36,1.1,1.47,1.66,3.94,3.31,0.87,0.87,1.5,1.37,0.99,1.02,0.47,1.49,
May ,,,1.81,0.63,1.38,0.6,4.34,1.89,0.48,0.87,1.81,1.97,0.66,1.96,2.22,1.73,2.76,3,1.73,
June ,,,0.87,1.62,0.75,2.68,1.5,0.89,0.58,0.99,0.79,0.72,1.59,0.95,1.66,0.83,0.63,1.34,1.54,
July ,,,2.61,2.01,2.33,1.09,2.84,0.83,3.31,1.12,0.63,4.02,4.26,0.34,2.84,4.22,2.01,1.89,3.98,
August ,,,5.86,2.01,2.18,0.63,0.28,4.93,2.57,2.99,0.47,0,2.28,1.34,3.23,2.44,1.14,4.1,1.5,
September ,,,3.02,2.48,1.89,0.35,1.89,2.39,0.47,2.29,2.25,2.68,1.5,0.55,0.71,1.73,1.81,5.04,2.64,
October ,,,2.8,1.1,2.38,6.62,0.86,3.15,1.34,1.75,2.99,2.85,3.23,0.21,3.24,2.92,1.5,3.47,2.53,
November ,,,0.39,2.72,7.68,2.85,1.27,2.68,2.84,1.18,1.62,3.47,3.82,2.93,3.15,0.47,3.47,1.73,2.21,
December ,,,2.92,1.81,3.54,2.39,3.15,2.4,1.47,1.02,3.35,1.73,6.23,5.32,4.41,2.6,2.99,2.01,2.05,
Total ,,,30.7,22.85,28.83,26.47,21.94,24.46,20.16,22.59,23.56,21.96,27.98,19.68,31.04,22.94,22.5,26.48,22.72,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1801 Aug - dash interpreted as a zero,,,,,,,,,,,,,,,,,,,,
