"HANNINGFIELD RESERVOIR",,,,,,,,,,,,
Grid ref,TQ744991,Long,0.520261,Lat,51.663616,,,,,,,
Station no,1286/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.60,0.93,1.29,2.78,3.57,1.12,2.34,1.79,1.64,,
February,,0.78,1.01,2.11,1.87,0.28,2.76,2.35,0.03,1.45,,
March,,2.86,0.37,2.11,1.20,0.83,1.01,0.94,1.29,1.01,,
April,,0.87,2.25,0.24,0.18,1.15,0.16,1.30,2.19,0.57,,
May,,1.10,1.31,1.81,4.67,0.49,0.76,2.48,1.04,2.19,,
June,,2.14,1.65,2.12,2.87,1.74,1.26,4.51,0.98,1.50,,
July,,0.63,2.94,2.42,0.20,5.04,2.48,3.27,1.47,2.82,,
August,,1.70,1.40,2.78,0.52,3.28,1.72,4.18,0.74,3.92,,
September,,3.73,2.20,2.16,2.23,1.83,2.29,5.57,0.06,4.43,,
October,,2.14,2.58,1.78,4.24,1.12,1.26,2.37,1.82,6.26,,
November,,4.22,0.80,3.60,0.88,0.49,2.89,1.17,2.59,2.89,,
December,,2.37,0.78,1.18,1.58,2.18,1.73,3.05,3.49,2.39,,
Total,,24.14,18.22,23.60,23.22,22.00,19.44,33.53,17.49,31.07,,
Calc annual,0.00,24.14,18.22,23.60,23.22,22.00,19.44,33.53,17.49,31.07,,
Difference,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
