GREAT-MISSENDEN-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU9087199505,Long,-0.68688548,Lat,51.686959,Elevation,372,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1016/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.16,1.84,2.48,1.99,0.79,4.98,5.03,3.85,5.5,2.43,2.57,3.23,5.2,2.04,2.03,2.64,2.33,6.31,1.29,0.81,3.79,1.97,1.22,1.21,2.28,4.42,1.75,3.36,4.3,3.71
February,2.1,0.19,2.88,0.25,2.57,2.45,4.95,0.72,1.47,2.6,2.74,0.97,1.59,1.4,2.37,2.63,1.67,1.07,1.65,5.32,5.82,0.75,2.24,2.5,2.11,0.41,3.41,3.33,0.07,2.92
March,0.01,1.68,3.19,2.83,0.58,1.6,3.57,0.39,2.06,2.32,2.56,1.91,0.54,0.29,0.8,1.36,5.86,0.87,1.44,0.94,4.7,2.88,0.44,2.88,1.47,0.88,1.72,1.61,3.16,1.34
April,3.44,2.21,1.32,1.71,4.62,1.46,3.4,0.06,2.99,2.04,2.21,1.7,1.12,1.65,1.61,1.72,2.27,1.67,1.77,2.3,3.27,2.25,2.72,0.39,0.64,1.41,0.38,1.6,2.73,0.82
May,2.63,3.7,1.42,0.63,0.96,0.33,3.77,2.07,1.89,1.53,1.81,3.28,2.89,0.77,2.51,4.4,1.62,3.08,2.34,2.25,2.48,1.97,2.1,3.17,4.61,0.25,1.59,2.11,0.66,2.22
June,1.52,0.29,1.1,0.8,3.71,3.63,1.83,0.78,1.61,0.55,1.77,0.41,1.71,2.09,2.8,2.74,2.69,2.21,0.59,1.31,1.54,1.02,1.84,4.04,2.72,2.37,1.6,4.06,1.35,1.82
July,4.7,1.79,1.88,0.95,0.54,5.61,1.6,1.78,2.54,2.06,4,2.7,2.06,2.73,2.27,1.41,1.23,1.58,1.26,6.25,0.95,0.57,3.69,2.68,0.22,3.06,2.53,2.8,3.86,3.66
August,4.27,3.01,0.89,2.37,1.89,0.35,1.38,2.5,3.3,0.25,3.94,2.5,2.17,2.61,1.44,4.93,0.32,3.35,1.29,3.97,4.51,3.35,2.51,3.77,0.68,5.28,2.28,3.35,2.19,4.14
September,2.77,2.67,2.47,2.58,4.51,4.13,3.38,1.82,0.64,1.79,0.3,1.56,2.19,3.77,2.04,4.6,1.24,3.02,1.18,3.74,3.99,3.28,2.46,2.15,2.13,2.69,3.3,5.31,0.09,5.04
October,0.4,4.83,1.6,1.97,3.6,1.72,2.67,3.84,3.94,3.21,0.78,4.7,3.34,4.38,3.59,1.05,0.32,2.76,7.02,0.68,1.17,3.08,2.66,2.62,2.87,1.99,2.71,3.12,2.79,7.33
November,3.35,2.16,1.19,2.21,5.07,4.25,1.55,3.75,5.35,8.13,3.08,1.44,1.63,4.63,0.45,6.53,1.34,1.79,3.14,5.61,6.72,3.5,1.64,5.01,1.68,0.77,2.24,2.69,2.6,4.84
December,1.1,0.81,0.5,6.63,3.71,3.05,3.91,3.95,2.03,1.55,1.95,3.32,1.62,2.19,3.7,2.58,2.76,3.92,1.78,1.61,2.03,3.48,0.71,2.7,2.85,4.43,2.6,3.38,5.72,3.78
Total,28.45,25.18,20.92,24.92,32.55,33.56,37.04,25.51,33.32,28.46,27.71,27.72,26.06,28.55,25.61,36.59,23.65,31.63,24.75,34.79,40.97,28.1,24.23,33.12,24.26,27.96,26.11,36.72,29.52,41.62
