GREAT MISSENDEN (PUMPING STATION),,,,,,,,,,,,
Grid ref,SU910995,Long,-0.685021,Lat,51.686893,,,,,,,
Station no,1016/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.79,1.97,1.22,1.21,2.28,4.42,1.75,3.36,4.30,3.71,,
February,5.82,0.75,2.24,2.50,2.11,0.41,3.41,3.33,0.07,2.92,,
March,4.70,2.88,0.44,2.88,1.47,0.88,1.72,1.61,3.16,1.34,,
April,3.27,2.25,2.72,0.39,0.64,1.41,0.38,1.60,2.73,0.82,,
May,2.48,1.97,2.10,3.17,4.61,0.25,1.59,2.11,0.66,2.22,,
June,1.54,1.02,1.84,4.04,2.72,2.37,1.60,4.06,1.35,1.82,,
July,0.95,0.57,3.69,2.68,0.22,3.06,2.53,2.80,3.86,3.66,,
August,4.51,3.35,2.51,3.77,0.68,5.28,2.28,3.35,2.19,4.14,,
September,3.99,3.28,2.46,2.15,2.13,2.69,3.30,5.31,0.09,5.04,,
October,1.17,3.08,2.66,2.62,2.87,1.99,2.71,3.12,2.79,7.33,,
November,6.72,3.50,1.64,5.01,1.68,0.77,2.24,2.69,2.60,4.84,,
December,2.03,3.48,0.71,2.70,2.85,4.43,2.60,3.38,5.72,3.78,,
Total,40.97,28.10,24.23,33.12,24.26,27.96,26.11,36.72,29.52,41.62,,
Calc annual,40.97,28.10,24.23,33.12,24.26,27.96,26.11,36.72,29.52,41.62,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
