"KILPATRICK HILLS ( GREENSIDE RESERVOIR ) OLD SITE",,,,,,,,,,,,
Grid ref,NS477754,Long,-4.440434,Lat,55.947428,,,,,,,
Station no,5338,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.68,4.80,2.56,6.25,3.41,3.88,6.89,4.20,1.99,5.74,,
February,3.62,2.92,3.08,7.17,2.25,1.69,4.01,3.41,2.47,5.33,,
March,4.38,4.60,1.41,3.68,1.58,2.97,6.50,2.15,3.00,2.69,,
April,2.90,2.57,2.15,1.99,3.05,1.14,2.30,1.99,4.06,4.68,,
May,2.16,2.29,2.66,5.06,5.38,2.96,3.26,3.26,1.25,3.49,,
June,2.97,4.58,2.11,4.60,3.91,2.93,2.77,4.05,3.51,3.43,,
July,4.96,3.73,7.05,4.37,1.72,5.44,3.88,4.53,7.29,5.84,,
August,7.16,5.28,4.67,6.28,1.18,5.37,5.96,4.42,1.29,4.08,,
September,4.51,3.27,5.14,7.46,5.50,6.63,3.83,4.15,1.84,3.62,,
October,1.51,5.58,2.43,11.87,4.04,3.53,6.28,5.14,5.31,4.22,,
November,7.19,2.28,9.13,7.92,3.25,1.76,2.14,2.36,6.96,5.91,,
December,7.79,5.35,5.71,6.64,7.14,7.60,5.75,5.37,7.02,5.61,,
Total,55.83,47.25,48.10,73.29,42.41,45.90,53.57,45.03,45.99,54.64,,
Calc annual,55.83,47.25,48.10,73.29,42.41,45.90,53.57,45.03,45.99,54.64,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
