"KILPATRICK HILLS",,,,,,,,,,,,
Grid ref,NS478754,Long,-4.438835,Lat,55.947460,,,,,,,
Station no,5338,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,4.25,6.67,4.38,2.97,5.13,,
February,,,,,,2.03,4.00,3.63,1.61,4.65,,
March,,,,,,3.52,6.46,2.39,2.88,2.76,,
April,,,,,,1.20,2.20,1.76,4.18,4.14,,
May,,,,,,3.06,3.19,3.96,1.28,3.36,,
June,,,,,,3.16,2.64,4.21,3.23,3.29,,
July,,,,,,6.44,5.47,6.78,6.51,5.90,,
August,,,,,,5.95,7.17,5.49,1.13,4.11,,
September,,,,,,6.85,4.08,4.37,1.82,3.65,,
October,,,,,,3.60,6.32,5.28,4.92,4.34,,
November,,,,,,2.09,2.44,2.15,5.97,5.75,,
December,,,,,,7.16,5.85,5.49,6.83,5.14,,
Total,,,,,,49.31,56.49,49.89,43.33,52.22,,
Calc annual,0.00,0.00,0.00,0.00,0.00,49.31,56.49,49.89,43.33,52.22,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
