"DUNTOCHER GREENSIDE RESERVOIR",,,,,,,,,,,,
Grid ref,NS477754,Long,-4.440434,Lat,55.947428,,,,,,,
Station no,5338,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.50,2.97,5.06,5.71,,
February,,,,,,,3.21,3.17,3.87,2.64,,
March,,,,,,,3.40,4.75,5.52,2.53,,
April,,,,,,,1.30,2.52,1.85,4.82,,
May,,,,,,,6.95,5.35,3.39,4.09,,
June,,,,,,,1.54,5.24,3.12,3.45,,
July,,,,,,,3.73,2.37,4.48,5.20,,
August,,,,,,,5.98,7.13,4.93,4.71,,
September,,,,,,,2.79,2.41,8.43,2.83,,
October,,,,,,,6.98,6.15,2.28,7.19,,
November,,,,,,,5.71,4.52,4.11,2.82,,
December,,,,,,,6.04,7.24,5.33,5.81,,
Total,,,,,,,52.13,53.82,52.37,51.80,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,52.13,53.82,52.37,51.80,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
