MASHAM MOOR - BLACK BRUNT,,,,,,,,,,,,
Grid ref,SE112819,Long,-1.830,Lat,54.233,Elevation,1160,ft,,,,
Station no,RR4563,,,,,,,,,,,
,,,,,,,,,,,,
,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918
January,0.98,2.38,2.19,6.54,1.82,3.89,7.15,3.75,6.65,4.37,2.20,3.70
February,2.69,3.46,1.00,3.05,4.29,3.22,2.72,4.84,7.22,5.89,2.80,4.98
March,3.94,3.95,3.87,1.11,1.94,5.00,8.21,3.35,1.33,5.71,2.33,1.70
April,1.77,1.73,3.52,3.00,1.53,0.41,4.89,1.54,1.71,2.31,2.70,0.95
May,4.15,3.74,2.43,2.70,1.48,3.41,3.05,2.32,1.75,3.35,2.21,3.09
June,6.29,1.86,4.46,1.80,3.21,6.35,1.93,3.36,0.39,2.45,1.90,0.72
July,2.55,2.58,2.54,3.49,0.33,4.30,1.54,2.44,5.48,2.68,1.67,5.79
August,3.00,2.00,5.15,4.60,2.93,6.67,1.21,2.42,5.75,2.77,8.25,2.83
September,0.42,5.31,1.49,0.75,2.93,2.07,2.21,1.80,0.73,2.49,1.52,8.08
October,6.65,1.54,6.02,5.26,4.14,3.85,3.90,2.58,1.65,9.32,5.17,3.61
November,4.62,3.84,0.94,3.83,6.83,3.23,4.05,6.99,2.02,5.12,2.60,2.63
December,5.02,2.18,3.80,4.66,7.57,5.05,2.15,10.29,9.40,3.37,1.32,5.38
Total,42.08,34.57,37.41,40.79,39.00,47.45,43.01,45.68,44.08,49.83,34.67,43.46
,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/136,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/260,,,,,,,,,,,,
,,,,,,,,,,,,
# The gauge is marked on the old OS Map.,,,,,,,,,,,,
