PATNA (KERSE FILTERS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS425131,Long,-4.487857,Lat,55.386511,Elevation,741,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5259/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.01,2,0.91,5.62,5.79,5.97,4.47,6.17,4.34,8.06,7.08,4.28,4.49,5.86,3.5,5.16,3.63,3.55,5.33,4.54,1.58,4.39
February,,,,,,,,,5.03,1.85,2.47,1.88,4.97,2.05,7.61,3.27,0.25,3.36,5.44,4.33,4.09,2.24,1.76,3.7,2.08,1.2,3.09,4.69,2.18,3.94
March,,,,,,,,,3.98,6.42,3.34,1.97,2.55,0.65,2.96,2.91,2.57,4.5,2.92,3.3,4.03,1.89,0.8,3.24,1.24,2.45,4.44,1.04,2.66,1.92
April,,,,,,,,,2.6,1.89,2.03,2.12,4.33,3.54,1.38,1.59,5.85,2.59,5.34,3.94,3.17,2.6,2.24,1.89,2.97,1.86,2.44,1.91,3.01,3.14
May,,,,,,,,,0.78,1.82,3.95,2.53,3.55,3.37,4.06,0.91,4.31,1.41,1.95,1.78,2.5,1.89,2.33,2.86,3.76,2.42,2.35,3.29,1.46,1.59
June,,,,,,,,,2.57,1.48,1.49,2.16,4.55,4.24,4.04,3.02,3.7,5.23,1.16,3.05,1.75,3.15,1.8,5.02,3.44,3.02,2.65,3.65,3.67,2.46
July,,,,,,,,,4.58,5.57,5.59,4.09,2.45,2.32,3.61,4.56,4.03,4.31,2.43,5.01,4.01,4.07,5.84,6.06,1.89,6.06,5.97,5.48,6.57,3.73
August,,,,,,,,,2,3.24,6.07,4.29,4.48,3.68,2.9,2.86,0.35,5.75,4.6,5.52,5.32,5.16,3.89,4.85,1.92,7.13,7.25,5.52,1.29,4.15
September,,,,,,,,,3.03,7.7,1.84,5.29,2.78,6.42,6.84,6.41,5.27,6.15,2.53,11.2,3.79,3.88,7.06,7.66,5.36,4.34,3.99,4.76,2.15,3.31
October,,,,,,,,,2.08,5.25,4.72,7.06,8.72,4.85,4.57,0.7,2.1,6.25,5.52,4.96,1.58,4.6,4.58,10.05,3.34,4.15,5.63,4.16,8.17,2.5
November,,,,,,,,7.58,9.98,5.68,3.84,1.38,3.33,7.02,0.44,6.67,7.95,3.61,7.37,4.5,7.98,3.04,7.81,7.8,3.03,2.31,2.52,2.13,5.15,7.7
December,,,,,,,,3.76,2.47,6.37,2.87,7.03,2.84,6.8,3.76,4.62,3.7,6.03,9.6,1.96,8.22,4.35,5.03,7.61,7.72,5.76,5.29,5.5,6.69,5.21
Total,,,,,,,,,43.11,49.27,39.12,45.42,50.34,50.91,46.64,43.69,44.42,57.25,55.94,53.83,50.93,42.73,46.64,65.9,40.38,44.25,50.95,46.67,44.58,44.04
