"PATNA, COUNTY FILTERS, KERSE FILTERS 1918",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS425131,Long,-4.487857,Lat,55.386511,Elevation,743,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,4.9,6,3,2.68,3.72,6.23,10.53,4.92,5.61,5.01,4.8,5.64,5.31,8.99,1.8,6.17,5.21,6.34,4,5.08,2.14,3.05,6.35,5.75,,
February,,,,,,6.1,3.9,1.5,5.73,0.44,5.25,1.43,5.08,5.35,1.36,5.32,4.03,2.19,3.57,2.6,0.3,3.89,0.04,3.24,0.48,4.81,1,4.44,1.28,,
March,,,,,,1.85,1.25,3,1.4,2.46,5.54,8.41,1.92,2.16,1.2,1.86,2.35,3.08,3.83,0.7,2.11,1.03,2.57,2.85,2.52,1.96,1.68,0.74,1.92,,
April,,,,,,3.4,3.9,1.9,0.94,1.96,2.18,1.62,3.09,2.71,2.51,4.79,2.02,3.73,1.54,1.59,2.35,1.32,3.18,2.03,2.54,3.01,0.17,1.71,0.3,,
May,,,,,,1.15,3.9,3.3,2.32,0.6,5.66,3.14,4.22,3.31,4.59,5.87,3.67,2.79,2.07,3.16,1.33,2.29,3.1,2.78,3.42,0.81,1.89,1.25,1.14,,
June,,,,,,1.1,2.2,3.5,1.78,6.75,2.12,1.65,4.31,3.16,2.45,0.46,1.64,3.82,4.86,2.61,2.42,6.49,2.29,2.48,3.18,3.46,1.85,2.32,3.7,,
July,,,,,,4.25,4.4,1.35,2.48,0.85,3.29,4.31,3.81,5.31,3.55,2.17,3.7,3.66,2.97,4.28,4.21,4.28,4.52,3.57,1.94,1.55,5.8,4.56,4.29,,
August,,,,,,3.4,3,3.7,3.81,3.26,5.06,7.18,3.81,7.7,4.44,3.06,3.15,5.14,3.64,6.42,7.76,1.96,1.43,2.74,4.46,1.4,3.15,2.53,2.3,,
September,,,,,,2.2,2.05,4.3,6.6,5.92,3.22,2.85,2.92,6.86,6.81,3.16,3.38,7.31,3.39,1.55,4.18,1.22,5.57,1.02,5.1,4.72,3.83,2.02,3.63,,
October,,,,,,1.8,7.8,8.8,7.41,1.47,3.51,4.79,1.98,6.83,3.24,4.38,4.78,4.01,6.76,7.7,7.86,3.76,6.28,2.87,7.03,7.27,5,3.29,6.48,,
November,,,,,,1.7,5.5,8.42,5.8,4.37,3.85,2.67,3.14,4.92,3.13,1.84,4.27,4.64,5.54,6.77,6.03,7.61,3.71,2.1,0.77,4.55,3.92,0.12,5.87,,
December,,,,,,5.2,7.8,4.4,4.95,7.8,4.41,10.29,4.35,5.6,5.61,4.56,1.93,1.41,3.57,10.31,5.96,4.25,7.43,1.09,6.03,2.42,4.81,1.12,1.66,,
Total,,,,,,37.05,51.7,47.17,45.9,39.6,50.32,58.87,43.55,59.52,43.9,42.27,40.56,47.09,50.73,49.49,50.68,43.31,46.46,30.77,42.55,38.1,36.15,30.45,38.32,,
