HASTINGS-BEECHWOOD,,,,,,,,,,
Grid ref,TQ816104,Long,0.57924263,Lat,50.864585,Elevation,128,ft,,
Station no,542/8,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,3.18,1.38,4.93,5.27,4.05,6.1,
February,,,2.09,0.21,4.17,2.21,5.71,1.19,1.73,
March,,,2.11,2.59,0.59,1.3,4.55,0.66,2.45,
April,,,1.21,2.56,3.62,2.27,2.77,0.78,2.56,
May,,,1.64,0.55,1.53,0.12,2.14,2.65,0.94,
June,,,1.26,2.33,2.46,3.48,1.74,0.57,1.36,
July,,,1.34,0.99,0.58,4.66,1.41,1.59,1.91,
August,,,1.31,2.21,5.23,1.44,2.07,1.89,1.79,
September,,,4.66,1.13,5.17,1.98,2.98,2.42,0.77,
October,,,2.17,2.51,4.18,1.55,3.65,3.49,,
November,,,2.17,3.64,6.29,4.59,1.35,4.06,,
December,,,0.83,7.84,3.94,2.22,4.5,3.88,,
Total,,,,29.74,39.14,30.75,38.14,27.23,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1933 Jan estimated,,,,,,,,,,
