(BIRMINGHAM) MOSELEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP082855,Long,-1.880659401,Lat,52.46806876,Elevation,427,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,2.86,1.37,3.37,2.82,4.11,2.43,4.08,2.21,1.42,4.78,3.08,2.56,3.52,,,,,,1.18,2.33,,,,,,,
February,,,,0.58,2.42,2.82,3.15,2.17,1.62,3.41,2.97,1.79,3.42,1.64,3.22,1.4,,,,,,4.16,1.84,,,,,,,
March,,,,0.87,3.55,1.65,2.38,4.17,2.9,2.18,1.95,1.46,2.6,2.94,1.17,0.76,,,,,,2.51,2.58,,,,,,,
April,,,,1,1.45,0.84,1.29,2.69,2.38,1.74,0.83,3.15,3.74,0.91,1.87,1.33,,,,,,0.72,4.35,,,,,,,
May,,,,0.65,1.74,2.78,1.1,1.8,1.66,6.06,1.45,2.1,2.45,2.32,2.97,2.82,,,,,,1.49,3.05,,,,,,,
June,,,,4.19,1.8,2.27,4.34,1.7,0.43,1.18,1.03,3.5,6.8,3.75,0.96,3.61,,,,,,2.45,4.89,,,,,,,
July,,,,0.96,0.7,5.2,2.58,2.89,0.35,0.82,1.56,4.7,3.66,2.35,1.21,6.97,,,,,,1.92,4.35,,,,,,,
August,,,,3.69,0.69,4.66,4.09,2.41,6.2,1.09,2.73,1.53,3.74,3.16,2.47,2.08,,,,,,5.08,1.89,,,,,,,
September,,,,2.46,3.27,0.2,5.67,3.51,2.71,4.77,1.28,5.9,2.85,2.65,3.91,3.64,,,,,,2.06,2.85,,,,,,,
October,,,,3.49,2.93,6.16,2.76,2.91,2.44,1.47,5.13,2.33,4.84,2.12,4.04,6.96,,,,,,2.83,6.21,,,,,,,
November,,,,2.47,3.01,2.53,2.71,1.08,1.9,2.31,2.26,0.79,3.93,1.78,3.61,3.52,,,,,,3.13,4.68,,,,,,,
December,,,,1.51,2.42,1.3,1.94,2.11,6.81,3.96,2.14,1.64,4.88,0.56,2.63,1.41,,,,,,2.21,4.04,,,,,,,
Total,,29.31,28.62,24.73,25.35,33.78,34.83,31.55,31.83,33.07,25.54,30.31,47.69,27.26,30.62,38.02,34.75,36.49,36.42,36.57,31.5,29.74,43.06,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881 arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Observer, Thomas Plant, advertising agent, lived at 133 Stratford Place, Mosley Road, Aston ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
