SELLING-GROVE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR0383155807,Long,0.92030857,Lat,51.264962,Elevation,330,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.87,1.96,3.16,1.45,4,1.19,2.55,2.18,2.69,1.9,2.87,1.35,4.9,5.5,3.47,5.8,2.53,3.24,3.12,5.1,1.59,2.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,0.71,4.47,2.77,4.46,1.06,0.52,1.43,2.65,0.58,1.47,0.28,4.18,2.06,3.79,0.93,1.28,2.01,2.75,1.39,1.61,1.05,1.84,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.37,1.11,0.14,3.19,2.32,0.06,1.41,0.29,1.39,2.68,3.34,0.25,0.57,5.17,0.38,1.82,3.39,1.82,2.69,0.36,0.3,1.01,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,3.38,2.19,4.32,1.6,2.02,1.28,1.22,3.74,2.4,0.92,2.63,3.44,1.55,2.43,0.67,2.02,1.1,2.08,1.41,1.54,1.28,1.08,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,3.41,2.85,1.26,0.58,2.09,1.29,4.3,2.43,3.09,1.43,0.95,2.2,0.27,2.98,2.39,2.27,0.43,1.87,3.05,3.19,0.65,2.78,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.72,0.61,2.58,4.49,2.61,1.71,0.74,0.66,1.14,1.3,1.1,1.91,3.09,1.57,0.67,1.6,1.48,1.8,0.3,0.93,1.5,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,3.57,3.27,1.21,4.02,0.93,1,2.62,1.99,3.78,0.88,0.9,0.77,4.78,0.91,1.64,2.27,2.78,2.48,3.01,2.82,2.94,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.9,1.04,1.75,3.59,1.75,2.59,2.84,3.28,0.66,0.75,1.6,3.77,1.18,1.01,3.82,1.57,0,3.86,2.11,1.25,2.21,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,2.14,2.37,0.46,3.69,0.73,0.62,5.16,2.1,2.24,3.74,1.73,3.94,3.12,3.3,2.27,1.26,1.76,0.27,2.22,1.9,3.2,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,3.88,3.65,3.62,1.96,5.24,3.56,1.65,0.49,7.75,1.69,1.88,4.04,2.62,3.3,3.44,11.2,4.32,1.85,3.63,2.73,4.7,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,3.53,3.2,6.47,3.02,4.39,6.06,5.02,4.78,1.48,1.43,3.33,4.78,4.67,1.03,2.9,4.63,6.32,4.35,2.41,1.44,4.89,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,4.49,3.55,1.19,4.69,3.51,7.08,2.7,0.48,0.23,0.31,5.95,4.2,2.16,6.29,4.18,2.04,1.47,2.06,2.72,2.12,2.37,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,33.97,30.27,28.93,36.74,30.65,26.96,31.64,25.07,27.43,18.5,26.56,34.83,30.97,37.28,26.76,37.76,27.59,28.43,28.06,24.99,26.68,23.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Gauge moved to Perry Cottage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
