HOUGHTON-LE-SPRING MYRE HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ343498,Long,-1.467437,Lat,54.841847,Elevation,261,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,1.72,3.37,1.69,3.43,0.81,1.53,1.32,2.51,1.11,1.19,1.98,1.85,5.36,0.41,1.61,0.8,,,1.47,,,,,,,,
February,,,,2.17,1.28,1,1.36,0.42,1.46,1.04,1.42,0.12,2.39,4.13,2.6,1.3,0.37,1.72,1.02,,,1.35,,,,,,,,
March,,,,1.8,2.46,1.24,2.82,1.72,4.33,1.72,2.25,3.04,1.27,0.73,1,2.38,2.46,2.84,1.49,,,1.84,,,,,,,,
April,,,,1.53,2.32,1.43,1.81,0.45,2.43,3.79,0.84,2.82,1.18,0.33,1.73,1.78,0.43,1.1,1.93,,,1.32,,,,,,,,
May,,,,2.15,0.64,3.37,3.13,1.51,0.51,1.96,2.24,1.63,2.22,1.78,2.7,0.71,0.7,1.52,2.01,,,2.1,,,,,,,,
June,,,,2.11,0.91,1.77,0.97,0.31,1.81,0.34,4.38,0.65,3.55,0.73,4.17,2.87,2.97,2.31,2.19,,,1.15,,,,,,,,
July,,,,4.24,3.15,1.41,5.74,1.24,6.97,3.08,2.15,5.83,1.47,2.84,1.95,4.72,2.21,1.7,0.58,,,2.64,,,,,,,,
August,,,,1.45,0.96,3.79,1.39,1.95,1.35,3.95,6.58,4.53,4.42,2.93,2.72,4.11,1.41,2.22,0.92,,,1.75,,,,,,,,
September,,,,4.77,1.53,2.31,1.61,6.67,1.77,0.98,2.87,2.17,2.58,1.47,1.17,0.33,2.64,2.9,0.45,,,0.97,,,,,,,,
October,,,,2.06,1.98,5.11,4.24,2.97,0.89,3.89,1.96,2.26,5.7,0.57,4.97,5.3,6.34,1.5,4.98,,,2.31,,,,,,,,
November,,,,0.93,1.77,3.1,3.91,2.78,4.79,0.83,3.67,2.53,1.26,2.71,0.84,2.2,2.39,1.48,3.86,,,4.6,,,,,,,,
December,,,,2.13,1.28,0.87,3.5,3.22,0.88,1.35,2.45,3.2,1.54,1.46,1.14,1.9,4.58,1.72,0.97,,,3.1,,,,,,,,
Total,,,,27.06,21.65,27.09,33.91,24.05,28.72,24.25,33.32,29.89,28.77,21.66,26.84,32.96,26.91,22.62,21.2,27.59,,24.6,,,,,,,,
