"HOUGHTON-LE-SPRING MYRE HALL",,,,,,,,,,,,
Grid ref,NZ343498,Long,-1.467437,Lat,54.841847,,,,,,,
Station no,RR1800,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.47,,,,,,,,,,
February,,1.35,,,,,,,,,,
March,,1.84,,,,,,,,,,
April,,1.32,,,,,,,,,,
May,,2.10,,,,,,,,,,
June,,1.15,,,,,,,,,,
July,,2.64,,,,,,,,,,
August,,1.75,,,,,,,,,,
September,,0.97,,,,,,,,,,
October,,2.31,,,,,,,,,,
November,,4.60,,,,,,,,,,
December,,3.10,,,,,,,,,,
Total,,24.60,,,,,,,,,,
Calc annual,0.00,24.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
