POOLE-THE-YARRELLS,,,,,,,,,,,,,,,,,,,,
Grid ref,SY979929,Long,-2.03055,Lat,50.73605,Elevation,60,ft,,,,,,,,,,,,
Station no,RR6706,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,3.47,3.18,2.26,3.16,2.69,1.2,0.8,3.81,3.07,1.6,2.08,3.94,3.78,0.9,,,
February,,,,4.52,2.9,4.59,0.45,0.91,1.01,1.76,0.81,0.04,1.57,3.9,2.61,0.03,0.28,,,
March,,,,1.26,2.33,1.48,3.41,1.15,3.47,2.26,1.08,2.66,0.63,0.67,1.58,2.24,3.09,,,
April,,,,1.05,1.91,1.86,2.51,0.9,1.04,2.34,2.96,0.91,0.87,0.03,1.94,2.39,0.68,,,
May,,,,1.8,1.14,3.32,4.17,1.69,2.02,1.37,2.5,2.18,0.71,0.69,1.48,0.3,0.26,,,
June,,,,1.98,3.76,2.06,0.9,0.93,2.61,0.63,2.56,1.59,1.47,1.07,1.7,1.52,2.25,,,
July,,,,2.82,2.04,0.09,2.33,0.76,3.14,1.99,2.68,1.63,1.81,4.53,5.72,2.85,0.45,,,
August,,,,0.53,1.19,0.86,0.89,1.66,2.56,2.32,2.45,6.34,3.14,0.71,2.08,2.26,2.32,,,
September,,,,4.47,2.39,3.44,2.81,2.45,1.5,0.8,2.3,1.67,3.05,1.82,2.66,0.19,10.13,,,
October,,,,2.37,1.45,3.98,3.43,1.59,2.2,5.65,0.75,8.24,4.98,5.48,4.08,3.02,2.83,,,
November,,,,4.26,0.97,3.9,4.45,3.62,6.63,1.69,2.63,4.36,3.05,1.47,6.14,5.93,1.12,,,
December,,,,0.72,3.61,1.56,7.13,2.23,2.42,2.36,1.47,4.87,1.97,3.01,2.29,3.53,4.3,,,
Total,,,,29.25,26.87,29.4,35.64,20.58,29.8,23.97,26,37.56,24.85,25.46,36.22,28.04,28.61,,,
,,,,,,,,,,,,,,,,,,,,
Large grounds with no clues as to gauge location but NGR matches elevation given,,,,,,,,,,,,,,,,,,,,
